stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
horizontal_left,horizontal,white_second,5,,,NaN
fixation,vertical,_,1,,,10291.0880198884
horizontal_left,horizontal,white_second,5,,,10292.1212172833
fixation,vertical,_,1,,,NaN
horizontal_right,horizontal,white_first,5,,,NaN
fixation,vertical,_,1,,,NaN
vertical_top,vertical,white_second,5,,,NaN
fixation,vertical,_,1,,,NaN
horizontal_right,horizontal,white_first,5,,,NaN
fixation,vertical,_,1,,,NaN
horizontal_left,horizontal,white_second,5,,,NaN
fixation,horizontal,_,1,,,NaN
vertical_bottom,vertical,white_first,5,,,NaN
fixation,horizontal,_,1,,,NaN
vertical_top,vertical,white_second,5,,,NaN
fixation,horizontal,_,1,,,NaN
horizontal_left,horizontal,white_second,5,,,NaN
fixation,vertical,_,1,,,NaN
horizontal_left,horizontal,white_second,5,,,NaN
fixation,vertical,_,1,,,NaN
vertical_top,vertical,white_second,5,,,NaN
fixation,vertical,_,1,,,NaN
horizontal_left,horizontal,white_second,5,,,NaN
fixation,horizontal,_,1,,,NaN
vertical_top,vertical,white_second,5,,,NaN
fixation,horizontal,_,1,,,NaN
vertical_bottom,vertical,white_first,5,,,NaN
fixation,horizontal,_,1,,,NaN
vertical_top,vertical,white_second,5,,18,NaN
fixation,vertical,_,1,,,NaN
horizontal_right,horizontal,white_first,5,,,NaN
fixation,vertical,_,1,,,NaN
horizontal_left,horizontal,white_second,5,,,NaN
fixation,vertical,_,1,,,NaN
vertical_bottom,vertical,white_first,5,,18,NaN
fixation,vertical,_,1,,,NaN
horizontal_right,horizontal,white_first,5,,,NaN
fixation,horizontal,_,1,,,NaN
horizontal_left,horizontal,white_second,5,,30,NaN
fixation,horizontal,_,1,,,NaN
horizontal_right,horizontal,white_first,5,,,NaN
fixation,horizontal,_,1,,,NaN
vertical_bottom,vertical,white_first,5,,18,NaN
fixation,horizontal,_,1,,,NaN
vertical_bottom,vertical,white_first,5,,,NaN
fixation,vertical,_,1,,,NaN
horizontal_left,horizontal,white_second,5,,,NaN
fixation,vertical,_,1,,,NaN
horizontal_right,horizontal,white_first,5,,18,NaN
fixation,vertical,_,1,,,NaN
vertical_top,vertical,white_second,5,,,NaN
fixation,vertical,_,1,,,NaN
horizontal_right,horizontal,white_first,5,,36,NaN
fixation,vertical,_,1,,,NaN
vertical_bottom,vertical,white_first,5,,,NaN
fixation,vertical,_,1,,,NaN
vertical_top,vertical,white_second,5,,,NaN
fixation,horizontal,_,1,,,NaN
vertical_top,vertical,white_second,5,,,NaN
fixation,horizontal,_,1,,,NaN
vertical_bottom,vertical,white_first,5,,,NaN
fixation,horizontal,_,1,,,NaN
horizontal_right,horizontal,white_first,5,,,NaN
fixation,vertical,_,1,,,NaN
vertical_bottom,vertical,white_first,5,,24,NaN
fixation,vertical,_,1,,,NaN
vertical_bottom,vertical,white_first,5,,,NaN
fixation,vertical,_,1,,,NaN
vertical_top,vertical,white_second,5,,,NaN
fixation,horizontal,_,1,,,NaN
vertical_bottom,vertical,white_first,5,,,NaN
fixation,horizontal,_,1,,,NaN
horizontal_right,horizontal,white_first,5,,24,NaN
fixation,horizontal,_,1,,,NaN
vertical_top,vertical,white_second,5,,,NaN
fixation,horizontal,_,1,,,NaN
horizontal_left,horizontal,white_second,5,,18,NaN
fixation,horizontal,_,1,,,NaN
vertical_bottom,vertical,white_first,5,,,NaN
fixation,horizontal,_,1,,,NaN
horizontal_right,horizontal,white_second,5,,,NaN
fixation,vertical,_,1,,,NaN
horizontal_right,horizontal,white_second,5,,30,NaN
fixation,vertical,_,1,,,NaN
vertical_bottom,vertical,white_second,5,,,NaN
fixation,vertical,_,1,,,NaN
horizontal_right,horizontal,white_second,5,,,NaN
fixation,vertical,_,1,,,NaN
vertical_top,vertical,white_first,5,,,NaN
fixation,vertical,_,1,,,NaN
horizontal_right,horizontal,white_second,5,,,NaN
fixation,horizontal,_,1,,,NaN
horizontal_left,horizontal,white_first,5,,,NaN
fixation,horizontal,_,1,,,NaN
vertical_top,vertical,white_first,5,,18,NaN
fixation,horizontal,_,1,,,NaN
vertical_top,vertical,white_first,5,,,NaN
fixation,horizontal,_,1,,,NaN
horizontal_left,horizontal,white_first,5,,,NaN
fixation,horizontal,_,1,,,NaN
horizontal_right,horizontal,white_second,5,,,NaN
