Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
training_,exogenous_,white_,feedback_,positionOnly_,simpleRT,allStimuliEqual,normal
training_,endogenous_,white_,feedback_,positionOnly_,simpleRT,allStimuliEqual,normal
training_,endogenous_,redBlue_,feedback_,colorOnly_,simpleRT,allStimuliEqual,normal
training_,endogenous_,red,feedback_,positionOnly_,simpleRT,allStimuliEqual,normal
training_,endogenous_,blue,feedback_,positionOnly_,simpleRT,allStimuliEqual,normal
training_,endogenous_,blue,feedback_,positionOnly_,simpleRT,allStimuliEqual,normal
training_,exogenous_,redBlue_,feedback_,change_,stroboscopicSlow,allStimuliEqual,reversalEmphasized
training_,exogenous_,redBlue_,feedback_,change_,stroboscopicSlow,allStimuliEqual,normal
training_,exogenous_,redBlue_,feedback_,change_,stroboscopic,allStimuliEqual,normal
training_,exogenous_,redBlue_,feedback_,change_,stroboscopicSlow,allStimuliEqual,reversalEmphasized
training_,exogenous_,redBlue_,feedback_,change_,stroboscopicSlow,allStimuliEqual,normal
training_,exogenous_,redBlue_,feedback_,change_,stroboscopic,allStimuliEqual,normal
training_,exogenous_,redBlue_,feedback_,change_,stroboscopicSlow,allStimuliEqual,reversalEmphasized
training_,exogenous_,redBlue_,feedback_,change_,stroboscopicSlow,allStimuliEqual,normal
training_,exogenous_,redBlue_,feedback_,change_,stroboscopic,allStimuliEqual,normal
training_,exogenous_,redBlue_,feedback_,change_,stroboscopicSlow,allStimuliEqual,reversalEmphasized
training_,exogenous_,redBlue_,feedback_,change_,stroboscopicSlow,allStimuliEqual,normal
training_,exogenous_,redBlue_,feedback_,change_,stroboscopic,allStimuliEqual,normal
training_,exogenous_,redBlue_,feedback_,change_,stroboscopic,allStimuliEqual,normal
test_,exogenous_,redBlue_,noFeedback_,colorPosition_,stroboscopic,allStimuliEqual,normal
