stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23895.6127298
fixation,ambiguous,_,0.13,,,23895.9849225
ambiguous_left_top,ambiguous,white_second,0.37,,,23896.1173141
fixation,ambiguous,_,0.13,,,23896.4896526
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23896.6214972
fixation,ambiguous,_,0.13,,,23896.9934742
ambiguous_left_top,ambiguous,white_second,0.37,,,23897.1254394
fixation,ambiguous,_,0.13,,,23897.4974697
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23897.6294035
fixation,ambiguous,_,0.13,,,23898.0014393
ambiguous_left_top,ambiguous,white_second,0.37,,,23898.133439
fixation,ambiguous,_,0.13,,,23898.5054725
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23898.6374061
fixation,ambiguous,_,0.13,,,23899.0094056
ambiguous_left_top,ambiguous,white_second,0.37,,,23899.1413373
fixation,ambiguous,_,0.13,,,23899.513347
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23899.6452673
fixation,ambiguous,_,0.13,,,23900.0172656
ambiguous_left_top,ambiguous,white_second,0.37,,,23900.1491656
fixation,ambiguous,_,0.13,,,23900.521098
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23900.6530327
fixation,ambiguous,_,0.13,,,23901.0249793
ambiguous_left_top,ambiguous,white_second,0.37,,,23901.1569119
fixation,ambiguous,_,0.13,,,23901.529014
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23901.6609664
fixation,ambiguous,_,0.13,,,23902.03294
ambiguous_left_top,ambiguous,white_second,0.37,,,23902.1649197
fixation,ambiguous,_,0.13,,,23902.5367991
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23902.6688368
fixation,ambiguous,_,0.13,,,23903.0408364
ambiguous_left_top,ambiguous,white_second,0.37,,,23903.1731023
fixation,ambiguous,_,0.13,,,23903.5450814
ambiguous_left_bottom,ambiguous,white_first,0.37,,8,23903.6770702
fixation,ambiguous,_,0.13,,,23904.0490702
ambiguous_left_top,ambiguous,white_second,0.37,,,23904.1810652
fixation,ambiguous,_,0.13,,,23904.5530197
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23904.684902
fixation,ambiguous,_,0.13,,,23905.0567931
ambiguous_left_top,ambiguous,white_second,0.37,,,23905.1886275
fixation,ambiguous,_,0.13,,,23905.560657
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23905.6927241
fixation,ambiguous,_,0.13,,,23906.0646438
ambiguous_left_top,ambiguous,white_second,0.37,,,23906.196575
fixation,ambiguous,_,0.13,,,23906.568546
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23906.700549
fixation,ambiguous,_,0.13,,,23907.0730648
ambiguous_left_top,ambiguous,white_second,0.37,,,23907.2050323
fixation,ambiguous,_,0.13,,,23907.576965
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23907.7088966
fixation,ambiguous,_,0.13,,,23908.0809286
ambiguous_left_top,ambiguous,white_second,0.37,,,23908.2129011
fixation,ambiguous,_,0.13,,,23908.5848949
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23908.7168294
fixation,ambiguous,_,0.13,,,23909.0888336
ambiguous_left_top,ambiguous,white_second,0.37,,,23909.2208987
fixation,ambiguous,_,0.13,,,23909.5928414
