stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25936.1373983
fixation,ambiguous,_,0.13,,,25936.5100968
ambiguous_left_top,ambiguous,white_second,0.37,,,25936.6422426
fixation,ambiguous,_,0.13,,,25937.0142006
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25937.146157
fixation,ambiguous,_,0.13,,,25937.5182196
ambiguous_left_top,ambiguous,white_second,0.37,,,25937.6501571
fixation,ambiguous,_,0.13,,,25938.0221008
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25938.1540515
fixation,ambiguous,_,0.13,,,25938.526031
ambiguous_left_top,ambiguous,white_second,0.37,,,25938.658112
fixation,ambiguous,_,0.13,,,25939.0301014
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25939.1620364
fixation,ambiguous,_,0.13,,,25939.5339297
ambiguous_left_top,ambiguous,white_second,0.37,,,25939.6659362
fixation,ambiguous,_,0.13,,,25940.0378952
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25940.169846
fixation,ambiguous,_,0.13,,,25940.5423081
ambiguous_left_top,ambiguous,white_second,0.37,,,25940.6742592
fixation,ambiguous,_,0.13,,,25941.0462247
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25941.1780582
fixation,ambiguous,_,0.13,,,25941.549981
ambiguous_left_top,ambiguous,white_second,0.37,,,25941.6819664
fixation,ambiguous,_,0.13,,,25942.054049
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25942.185978
fixation,ambiguous,_,0.13,,,25942.5579417
ambiguous_left_top,ambiguous,white_second,0.37,,,25942.6895305
fixation,ambiguous,_,0.13,,,25943.0615631
ambiguous_left_bottom,ambiguous,white_first,0.37,,7,25943.1935607
fixation,ambiguous,_,0.13,,,25943.5655643
ambiguous_left_top,ambiguous,white_second,0.37,,,25943.6974974
fixation,ambiguous,_,0.13,,,25944.0694946
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25944.2013672
fixation,ambiguous,_,0.13,,,25944.5733268
ambiguous_left_top,ambiguous,white_second,0.37,,,25944.7053682
fixation,ambiguous,_,0.13,,,25945.077357
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25945.2093595
fixation,ambiguous,_,0.13,,,25945.5813313
ambiguous_left_top,ambiguous,white_second,0.37,,,25945.7132044
fixation,ambiguous,_,0.13,,,25946.0851898
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25946.2169371
fixation,ambiguous,_,0.13,,,25946.5888407
ambiguous_left_top,ambiguous,white_second,0.37,,,25946.7207311
fixation,ambiguous,_,0.13,,,25947.0927237
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25947.2247263
fixation,ambiguous,_,0.13,,,25947.5966585
ambiguous_left_top,ambiguous,white_second,0.37,,,25947.7286923
fixation,ambiguous,_,0.13,,,25948.1006352
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25948.2325887
fixation,ambiguous,_,0.13,,,25948.604625
ambiguous_left_top,ambiguous,white_second,0.37,,,25948.737425
fixation,ambiguous,_,0.13,,,25949.1093548
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25949.2412882
fixation,ambiguous,_,0.13,,,25949.6134068
ambiguous_left_top,ambiguous,white_second,0.37,,,25949.7453835
fixation,ambiguous,_,0.13,,,25950.1173597
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25950.249386
fixation,ambiguous,_,0.13,,,25950.6214334
ambiguous_left_top,ambiguous,white_second,0.37,,,25950.7540525
fixation,ambiguous,_,0.13,,,25951.126016
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25951.257966
fixation,ambiguous,_,0.13,,,25951.6298695
ambiguous_left_top,ambiguous,white_second,0.37,,8.5,25951.7618888
fixation,ambiguous,_,0.13,,,25952.1339057
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25952.2658884
fixation,ambiguous,_,0.13,,,25952.6378611
ambiguous_left_top,ambiguous,white_second,0.37,,,25952.7697519
fixation,ambiguous,_,0.13,,,25953.1417535
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25953.2737536
fixation,ambiguous,_,0.13,,,25953.6457182
ambiguous_left_top,ambiguous,white_second,0.37,,,25953.7776873
fixation,ambiguous,_,0.13,,,25954.1496194
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25954.2816191
fixation,ambiguous,_,0.13,,,25954.6540357
ambiguous_left_top,ambiguous,white_second,0.37,,,25954.7859943
fixation,ambiguous,_,0.13,,,25955.1581112
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25955.2901126
fixation,ambiguous,_,0.13,,,25955.6619857
ambiguous_left_top,ambiguous,white_second,0.37,,,25955.7938545
fixation,ambiguous,_,0.13,,,25956.1658238
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25956.2977991
fixation,ambiguous,_,0.13,,,25956.6698808
ambiguous_left_top,ambiguous,white_second,0.37,,,25956.8017481
fixation,ambiguous,_,0.13,,,25957.1738154
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25957.3058009
fixation,ambiguous,_,0.13,,,25957.677768
