stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
vertical_bottom,vertical,red_first,0.37,,,5734.93555223713
fixation,vertical,_,0.13,,,5735.31936411842
vertical_top,vertical,red_second,0.37,,,5735.4522717528
fixation,vertical,_,0.13,,,5735.83602682391
vertical_bottom,vertical,blue_first,0.37,,,5735.96890876915
fixation,vertical,_,0.13,,,5736.35258526367
vertical_top,vertical,blue_second,0.37,,,5736.48560859087
fixation,vertical,_,0.13,,,5736.86925566126
vertical_bottom,vertical,red_first,0.37,,,5737.00225305426
fixation,vertical,_,0.13,,,5737.38592333145
vertical_top,vertical,red_second,0.37,,,5737.51893484457
fixation,vertical,_,0.13,,,5737.90271126071
vertical_bottom,vertical,blue_first,0.37,,,5738.03556522221
fixation,vertical,_,0.13,,,5738.41937447571
vertical_top,vertical,blue_second,0.37,,,5738.55224844146
fixation,vertical,_,0.13,,,5738.93603617362
vertical_bottom,vertical,red_first,0.37,,,5739.06890950733
fixation,vertical,_,0.13,,,5739.45260631639
vertical_top,vertical,red_second,0.37,,,5739.58562051108
fixation,vertical,_,0.13,,,5739.96925461438
vertical_bottom,vertical,blue_first,0.37,,,5740.10227639011
fixation,vertical,_,0.13,,,5740.48602637398
vertical_top,vertical,blue_second,0.37,,,5740.61891278586
fixation,vertical,_,0.13,,,5741.0026972811
vertical_bottom,vertical,red_first,0.37,,,5741.1355791038
fixation,vertical,_,0.13,,,5741.51936249185
vertical_top,vertical,red_second,0.37,,,5741.65226316578
fixation,vertical,_,0.13,,,5742.03603958192
vertical_bottom,vertical,blue_first,0.37,,,5742.16890268739
fixation,vertical,_,0.13,,,5742.55271050049
vertical_top,vertical,blue_second,0.37,,,5742.68557949008
fixation,vertical,_,0.13,,,5743.0693634758
horizontal_right,horizontal,red_first,0.37,,8,5743.20226000484
fixation,horizontal,_,0.13,,,5743.58601583052
horizontal_left,horizontal,red_second,0.37,,,5743.73576194018
fixation,horizontal,_,0.13,,,5744.11936058108
horizontal_right,horizontal,blue_first,0.37,,,5744.25223140951
fixation,horizontal,_,0.13,,,5744.63604628268
horizontal_left,horizontal,blue_second,0.37,,,5745.81934321592
fixation,horizontal,_,0.13,,,5746.20257863237
horizontal_right,horizontal,red_first,0.37,,,5746.33560006343
fixation,horizontal,_,0.13,,,5746.71936943097
horizontal_left,horizontal,red_second,0.37,,,5746.85222911175
fixation,horizontal,_,0.13,,,5747.23604095867
horizontal_right,horizontal,blue_first,0.37,,,5747.36890922806
fixation,horizontal,_,0.13,,,5747.75270191346
horizontal_left,horizontal,blue_second,0.37,,,5747.88557606698
fixation,horizontal,_,0.13,,,5748.26936234728
horizontal_right,horizontal,red_first,0.37,,,5748.40223784158
fixation,horizontal,_,0.13,,,5748.78604557799
horizontal_left,horizontal,red_second,0.37,,,5748.9189126829
fixation,horizontal,_,0.13,,,5749.30270880445
horizontal_right,horizontal,blue_first,0.37,,,5749.43561602893
fixation,horizontal,_,0.13,,,5749.81937462434
horizontal_left,horizontal,blue_second,0.37,,,5749.9522782249
fixation,horizontal,_,0.13,,,5750.33602512875
horizontal_right,horizontal,red_first,0.37,,,5750.46894425546
fixation,horizontal,_,0.13,,,5750.85269861783
horizontal_left,horizontal,red_second,0.37,,,5750.98561027457
fixation,horizontal,_,0.13,,,5751.36935230188
horizontal_right,horizontal,blue_first,0.37,,,5751.50228625745
fixation,horizontal,_,0.13,,,5751.88603502307
horizontal_left,horizontal,blue_second,0.37,,,5752.01890172953
fixation,horizontal,_,0.13,,,5752.40268840828
