Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
training_,exogenous_,white_,feedback_,positionOnly_,simpleRT_,allStimuliEqual_,normal
training_,exogenous_,white_,feedback_,positionOnly_,simpleRT_,allStimuliEqual_,normal
training_,exogenous_,redBlue_,feedback_,colorOnly_,simpleRT_,allStimuliEqual_,normal
training_,exogenous_,red,feedback_,colorPosition_,simpleRT_,allStimuliEqual_,normal
training_,exogenous_,blue,feedback_,colorPosition_,simpleRT_,allStimuliEqual_,normal
training_,exogenous_,redBlue_,feedback_,colorPosition_,simpleRT_,allStimuliEqual_,normal
training_,exogenous_,redBlue_,feedback_,change_,stroboscopic_,allStimuliEqual_,normal
training_,exogenous_,redBlue_,feedback_,change_,stroboscopic_,allStimuliEqual_,normal
training_,exogenous_,redBlue_,feedback_,colorOnly_,stroboscopicSlow_,allStimuliEqual_,normal
training_,exogenous_,redBlue_,feedback_,colorOnly_,stroboscopic_,allStimuliEqual_,normal
training_,exogenous_,redBlue_,feedback_,colorPosition_,stroboscopicSlow_,col_onlyRed_,normal
training_,exogenous_,redBlue_,feedback_,colorPosition_,stroboscopic_,col_onlyRed_,normal
training_,exogenous_,redBlue_,feedback_,colorPosition_,stroboscopicSlow_,col_onlyBlue_,normal
training_,exogenous_,redBlue_,feedback_,colorPosition_,stroboscopic_,col_onlyBlue_,normal
training_,exogenous_,redBlue_,feedback_,colorPosition_,stroboscopicSlow_,allStimuliEqual_,normal
training_,exogenous_,redBlue_,feedback_,colorPosition_,stroboscopic_,allStimuliEqual_,normal
