responseTable_stimOnset1,responseTable_stimOnset2,responseTable_stimOnset3,responseTable_stimOnset4,responseTable_stimOnset5,responseTable_stimOnset6,responseTable_stimOnset7,responseTable_stimOnset8
Stimulus_Type,Percept_Duration,Accuracy,KeyName,RT,Release_Duration,Reversal_Onset_Index,Total_Press_Time
horizontal_left_blue_second,7.5,Wrong_Key,SOL_long,,0.277512509564986,31,8.32806230173446
vertical_top_red_second,9,Wrong_Key,SAG,,0.168912172088312,67,18.8202391304767
horizontal_right_blue_first,8.5,Correct,SAG,0.549244838221057,0.148762200045894,101,28.5322634551667
vertical_bottom_blue_first,10,Wrong_Key,SOL,,0.22286263775095,141,39.7708118429618
horizontal_right_red_first,9,Wrong_Key,SAG,,0.0486152440753358,177,50.2049851256488
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
