stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
vertical_bottom,vertical,red_first,1.11,,,28862.7516842362
fixation,vertical,_,0.39,,,28863.8681072337
vertical_top,vertical,red_second,1.11,,,28864.2684304818
fixation,vertical,_,0.39,,,28865.384919911
vertical_bottom,vertical,blue_first,1.11,,,28865.7851107291
fixation,vertical,_,0.39,,,28866.9015068411
vertical_top,vertical,blue_second,1.11,,,28867.3017983491
fixation,vertical,_,0.39,,,28868.4183314583
vertical_bottom,vertical,red_first,1.11,,,28868.8182986397
fixation,vertical,_,0.39,,,28869.935063938
vertical_top,vertical,red_second,1.11,,,28870.3351454265
fixation,vertical,_,0.39,,,28871.4517159842
vertical_bottom,vertical,blue_first,1.11,,,28871.8518142672
fixation,vertical,_,0.39,,,28872.9683813988
vertical_top,vertical,blue_second,1.11,,,28873.3685015769
fixation,vertical,_,0.39,,,28874.4850754735
vertical_bottom,vertical,red_first,1.11,,,28874.9021368866
fixation,vertical,_,0.39,,,28876.0183678619
vertical_top,vertical,red_second,1.11,,,28876.4185255628
fixation,vertical,_,0.39,,,28877.5350516224
horizontal_right,horizontal,blue_first,1.11,,15,28877.9351926904
fixation,horizontal,_,0.39,,,28880.0850430502
horizontal_left,horizontal,blue_second,1.11,,,28880.4850960017
fixation,horizontal,_,0.39,,,28881.6017820718
horizontal_right,horizontal,red_first,1.11,,,28882.0018825884
fixation,horizontal,_,0.39,,,28883.118424945
horizontal_left,horizontal,red_second,1.11,,,28883.5185573991
fixation,horizontal,_,0.39,,,28884.6351228305
horizontal_right,horizontal,blue_first,1.11,,,28885.035245491
fixation,horizontal,_,0.39,,,28886.1517855139
horizontal_left,horizontal,blue_second,1.11,,,28886.5519287668
fixation,horizontal,_,0.39,,,28887.6684628327
horizontal_right,horizontal,red_first,1.11,,,28888.0685997796
fixation,horizontal,_,0.39,,,28889.1851231696
horizontal_left,horizontal,red_second,1.11,,,28889.5852715617
fixation,horizontal,_,0.39,,,28890.7018053044
horizontal_right,horizontal,blue_first,1.11,,,28891.1019442875
fixation,horizontal,_,0.39,,,28892.2185021846
vertical_top,vertical,blue_second,1.11,,13.5,28892.6186169261
fixation,vertical,_,0.39,,,28894.7514162623
vertical_bottom,vertical,red_first,1.11,,,28895.1519512686
fixation,vertical,_,0.39,,,28896.268505578
vertical_top,vertical,red_second,1.11,,,28896.6686485949
fixation,vertical,_,0.39,,,28897.7851676665
vertical_bottom,vertical,blue_first,1.11,,,28898.1853178075
fixation,vertical,_,0.39,,,28899.3018612079
vertical_top,vertical,blue_second,1.11,,,28899.7019843402
fixation,vertical,_,0.39,,,28900.8185395933
vertical_bottom,vertical,red_first,1.11,,,28901.2186663749
fixation,vertical,_,0.39,,,28902.3352192072
horizontal_left,horizontal,red_second,1.11,,9,28902.7353334153
fixation,horizontal,_,0.39,,,28904.8681800064
horizontal_right,horizontal,blue_first,1.11,,,28905.2687006133
fixation,horizontal,_,0.39,,,28906.3852553202
horizontal_left,horizontal,blue_second,1.11,,,28906.7853769011
fixation,horizontal,_,0.39,,,28907.9019238378
horizontal_right,horizontal,red_first,1.11,,,28908.3020444006
fixation,horizontal,_,0.39,,,28909.4186018515
horizontal_left,horizontal,red_second,1.11,,,28909.8187163571
fixation,horizontal,_,0.39,,,28910.9352836502
horizontal_right,horizontal,blue_first,1.11,,,28911.3353946554
fixation,horizontal,_,0.39,,,28912.4519341578
vertical_top,vertical,blue_second,1.11,,9,28912.8520848578
fixation,vertical,_,0.39,,,28914.984791659
vertical_bottom,vertical,red_first,1.11,,,28915.3854205902
fixation,vertical,_,0.39,,,28916.5019691656
vertical_top,vertical,red_second,1.11,,,28916.9020947803
fixation,vertical,_,0.39,,,28918.0186378447
vertical_bottom,vertical,blue_first,1.11,,,28918.4187912758
fixation,vertical,_,0.39,,,28919.5353449031
vertical_top,vertical,blue_second,1.11,,,28919.935448138
fixation,vertical,_,0.39,,,28921.0520009216
vertical_bottom,vertical,red_first,1.11,,,28921.4521310421
fixation,vertical,_,0.39,,,28922.5686598944
vertical_top,vertical,red_second,1.11,,,28922.9688143051
fixation,vertical,_,0.39,,,28924.0853500096
vertical_bottom,vertical,blue_first,1.11,,,28924.4854953474
fixation,vertical,_,0.39,,,28925.6020326649
horizontal_left,horizontal,blue_second,1.11,,12,28926.0021571128
fixation,horizontal,_,0.39,,,28928.134915277
horizontal_right,horizontal,red_first,1.11,,,28928.5355151378
fixation,horizontal,_,0.39,,,28929.6520525297
horizontal_left,horizontal,red_second,1.11,,,28930.0521685124
fixation,horizontal,_,0.39,,,28931.1687360415
horizontal_right,horizontal,blue_first,1.11,,,28931.5688606509
fixation,horizontal,_,0.39,,,28932.6853922215
horizontal_left,horizontal,blue_second,1.11,,,28933.0855245269
fixation,horizontal,_,0.39,,,28934.2020557744
horizontal_right,horizontal,red_first,1.11,,,28934.6022019071
fixation,horizontal,_,0.39,,,28935.7187323853
horizontal_left,horizontal,red_second,1.11,,,28936.1188868088
fixation,horizontal,_,0.39,,,28937.2354423723
horizontal_right,horizontal,blue_first,1.11,,,28937.6355524722
fixation,horizontal,_,0.39,,,28938.7521086434
horizontal_left,horizontal,blue_second,1.11,,,28939.1522435055
fixation,horizontal,_,0.39,,,28940.2687798921
horizontal_right,horizontal,red_first,1.11,,,28940.6689025654
fixation,horizontal,_,0.39,,,28941.7854748362
vertical_top,vertical,red_second,1.11,,15,28942.1855873056
fixation,vertical,_,0.39,,,28944.3184639108
vertical_bottom,vertical,blue_first,1.11,,,28944.7189383425
fixation,vertical,_,0.39,,,28945.8354796195
vertical_top,vertical,blue_second,1.11,,,28946.2356149406
fixation,vertical,_,0.39,,,28947.3521632314
vertical_bottom,vertical,red_first,1.11,,,28947.752282317
fixation,vertical,_,0.39,,,28948.8688017476
vertical_top,vertical,red_second,1.11,,,28949.2689707935
fixation,vertical,_,0.39,,,28950.3855065596
vertical_bottom,vertical,blue_first,1.11,,,28950.7856400189
fixation,vertical,_,0.39,,,28951.9021833192
vertical_top,vertical,blue_second,1.11,,,28952.3023080903
fixation,vertical,_,0.39,,,28953.4188793301
vertical_bottom,vertical,red_first,1.11,,,28953.8189908071
fixation,vertical,_,0.39,,,28954.9355372847
vertical_top,vertical,red_second,1.11,,,28955.3356733136
fixation,vertical,_,0.39,,,28956.4522159934
vertical_bottom,vertical,blue_first,1.11,,,28956.8522322657
fixation,vertical,_,0.39,,,28957.9689185589
vertical_top,vertical,blue_second,1.11,,,28958.3690286947
fixation,vertical,_,0.39,,,28959.4855475175
horizontal_right,horizontal,red_first,1.11,,16.5,28959.8856993228
fixation,horizontal,_,0.39,,,28961.0020952861
horizontal_left,horizontal,red_second,1.11,,,28962.4189139831
fixation,horizontal,_,0.39,,,28963.5356149346
horizontal_left,horizontal,blue_first,1.11,,,28980.0024470877
fixation,horizontal,_,0.39,,,28981.1190570556
horizontal_right,horizontal,blue_second,1.11,,,28981.5191563438
fixation,horizontal,_,0.39,,,28982.6357317175
horizontal_left,horizontal,red_first,1.11,,,28983.0358401659
fixation,horizontal,_,0.39,,,28984.1523714263
horizontal_right,horizontal,red_second,1.11,,,28984.5525006158
fixation,horizontal,_,0.39,,,28985.6690444495
horizontal_left,horizontal,blue_first,1.11,,,28986.0691740366
fixation,horizontal,_,0.39,,,28987.1857458483
horizontal_right,horizontal,blue_second,1.11,,,28987.5858809206
fixation,horizontal,_,0.39,,,28988.7024280317
vertical_top,vertical,red_first,1.11,,12,28989.102542686
fixation,vertical,_,0.39,,,28991.2353952599
vertical_bottom,vertical,red_second,1.11,,,28991.6358875914
fixation,vertical,_,0.39,,,28992.7524461963
vertical_top,vertical,blue_first,1.11,,,28993.1525579836
fixation,vertical,_,0.39,,,28994.2691178039
vertical_bottom,vertical,blue_second,1.11,,,28994.6692400183
fixation,vertical,_,0.39,,,28995.7857739712
vertical_top,vertical,red_first,1.11,,,28996.1859151392
fixation,vertical,_,0.39,,,28997.3024921516
vertical_bottom,vertical,red_second,1.11,,,28997.7024494651
fixation,vertical,_,0.39,,,28998.8191778483
vertical_top,vertical,blue_first,1.11,,,28999.2192739951
fixation,vertical,_,0.39,,,29000.3357947926
vertical_bottom,vertical,blue_second,1.11,,,29000.7359461131
fixation,vertical,_,0.39,,,29001.8524982762
vertical_top,vertical,red_first,1.11,,,29002.2526317226
fixation,vertical,_,0.39,,,29003.3691828676
vertical_bottom,vertical,red_second,1.11,,,29003.769301407
fixation,vertical,_,0.39,,,29004.8858368628
horizontal_left,horizontal,blue_first,1.11,,15,29005.285967232
fixation,horizontal,_,0.39,,,29007.4352105926
horizontal_right,horizontal,blue_second,1.11,,,29007.8527510421
fixation,horizontal,_,0.39,,,29008.969200243
horizontal_left,horizontal,red_first,1.11,,,29009.3693299044
fixation,horizontal,_,0.39,,,29010.4858874784
horizontal_right,horizontal,red_second,1.11,,,29010.8859926136
fixation,horizontal,_,0.39,,,29012.0025628481
horizontal_left,horizontal,blue_first,1.11,,,29012.402682021
fixation,horizontal,_,0.39,,,29013.5192648546
horizontal_right,horizontal,blue_second,1.11,,,29013.9193658431
fixation,horizontal,_,0.39,,,29015.0358834247
horizontal_left,horizontal,red_first,1.11,,,29015.4360301781
fixation,horizontal,_,0.39,,,29016.5525506396
horizontal_right,horizontal,red_second,1.11,,,29016.9527027552
fixation,horizontal,_,0.39,,,29018.0692421576
horizontal_left,horizontal,blue_first,1.11,,,29018.4693728986
fixation,horizontal,_,0.39,,,29019.5859456283
horizontal_right,horizontal,blue_second,1.11,,,29019.985894774
fixation,horizontal,_,0.39,,,29021.1026496095
vertical_top,vertical,red_first,1.11,,15,29021.502733865
fixation,vertical,_,0.39,,,29023.6356537271
vertical_bottom,vertical,red_second,1.11,,,29024.0360900282
fixation,vertical,_,0.39,,,29025.1526087638
vertical_top,vertical,blue_first,1.11,,,29025.5527705114
fixation,vertical,_,0.39,,,29026.669293604
vertical_bottom,vertical,blue_second,1.11,,,29027.0694391905
fixation,vertical,_,0.39,,,29028.1859780595
vertical_top,vertical,red_first,1.11,,,29028.5861136294
fixation,vertical,_,0.39,,,29029.7026741576
vertical_bottom,vertical,red_second,1.11,,,29030.1026711044
fixation,vertical,_,0.39,,,29031.2193106633
horizontal_left,horizontal,blue_first,1.11,,9,29031.6194536059
fixation,horizontal,_,0.39,,,29032.7360220916
horizontal_right,horizontal,blue_second,1.11,,,29033.1361409413
fixation,horizontal,_,0.39,,,29034.2526861034
horizontal_left,horizontal,red_first,1.11,,,29035.7027941473
fixation,horizontal,_,0.39,,,29036.8194063874
horizontal_right,horizontal,red_second,1.11,,,29037.21948764
fixation,horizontal,_,0.39,,,29038.3360490247
horizontal_left,horizontal,blue_first,1.11,,,29038.7361709902
fixation,horizontal,_,0.39,,,29039.8527299669
horizontal_right,horizontal,blue_second,1.11,,,29040.2528554329
fixation,horizontal,_,0.39,,,29041.3694138762
horizontal_left,horizontal,red_first,1.11,,,29041.7695347621
fixation,horizontal,_,0.39,,,29042.8861064738
horizontal_right,horizontal,red_second,1.11,,,29043.286190855
fixation,horizontal,_,0.39,,,29044.4200641252
horizontal_left,horizontal,blue_first,1.11,,,29044.819543146
fixation,horizontal,_,0.39,,,29045.9361044563
vertical_bottom,vertical,blue_second,1.11,,13.5,29046.3362214571
fixation,vertical,_,0.39,,,29048.4858834309
vertical_top,vertical,red_first,1.11,,,29048.8861692306
fixation,vertical,_,0.39,,,29050.0027958186
vertical_bottom,vertical,red_second,1.11,,,29050.402920328
fixation,vertical,_,0.39,,,29051.5194641002
vertical_top,vertical,blue_first,1.11,,,29051.9195913408
fixation,vertical,_,0.39,,,29053.0361096302
vertical_bottom,vertical,blue_second,1.11,,,29053.4362497058
fixation,vertical,_,0.39,,,29054.552825477
vertical_top,vertical,red_first,1.11,,,29054.9529471937
fixation,vertical,_,0.39,,,29056.0695030803
vertical_bottom,vertical,red_second,1.11,,,29056.4696112184
fixation,vertical,_,0.39,,,29057.58618293
horizontal_left,horizontal,blue_first,1.11,,10.5,29057.9862943455
fixation,horizontal,_,0.39,,,29060.1358220404
