responseTable_FCRTT1,responseTable_FCRTT2,responseTable_FCRTT3,responseTable_FCRTT4,responseTable_FCRTT5
Stimulus_Type,Accuracy,KeyName,RT,Release_Duration
ambiguous_left_bottom_red,Correct,SOL,0.408385190770787,0.174962935197982
ambiguous_left_top_blue,Long_Timing,SAG,,
ambiguous_left_bottom_blue,Correct,SAG,0.683792194980924,0.182004782272998
ambiguous_left_top_blue,Long_Timing,SAG,,
ambiguous_left_bottom_blue,Correct,SAG,0.648543682738818,0.170675891960855
ambiguous_left_bottom_blue,Correct,SAG,0.553382408852485,0.0973161297188199
ambiguous_left_bottom_blue,Correct,SAG,0.497884312131646,0.113680496127927
ambiguous_left_top_red,Correct,SOL_long,0.827709023848001,0.804632029823551
ambiguous_left_bottom_red,Correct,SOL,0.494752786718891,0.212983137920673
ambiguous_left_top_red,Long_Timing,SOL,,
ambiguous_left_bottom_red,Correct,SOL,0.506610644093598,0.184134340594028
ambiguous_left_bottom_blue,Correct,SAG,0.487832637914835,0.129310392978368
ambiguous_left_top_red,Correct,SOL_long,0.485851187535445,0.838547643088532
ambiguous_left_bottom_blue,Correct,SAG,0.505163284877199,0.126638748344703
ambiguous_left_top_blue,Correct,SAG_long,0.579408543751924,0.641892877290957
ambiguous_left_top_blue,Correct,SAG_long,0.715006702390383,0.762829014121962
ambiguous_left_top_red,Correct,SOL_long,0.661556813432981,0.701579466378462
ambiguous_left_top_blue,Correct,SAG_long,0.557342019481439,0.670665341909626
ambiguous_left_bottom_red,Correct,SOL,0.606008789476618,0.166582473142626
ambiguous_left_bottom_red,Correct,SOL,0.441742322636856,0.167956151515682
ambiguous_left_bottom_red,Correct,SOL,0.634694057676825,0.166307861585665
ambiguous_left_bottom_blue,Correct,SAG,0.499826675393706,0.172726014618092
ambiguous_left_bottom_red,Correct,SOL,0.374676327926863,0.144134142006806
ambiguous_left_top_red,Correct,SOL_long,0.531561161405989,0.515583042222715
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
