stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
ambiguous_left_bottom,ambiguous,blue_first,5,,,NaN
fixation,ambiguous,_,1,,,28059.4795201629
ambiguous_left_bottom,ambiguous,red_first,5,,,28060.5636956574
fixation,ambiguous,_,1,,,28063.2299813826
ambiguous_left_top,ambiguous,blue_second,5,,18,28064.2637750986
fixation,ambiguous,_,1,,,28067.9133317531
ambiguous_left_bottom,ambiguous,blue_first,5,,,28068.9470684345
fixation,ambiguous,_,1,,,28071.8635514403
ambiguous_left_top,ambiguous,blue_second,5,,24,28072.8968729109
fixation,ambiguous,_,1,,,28076.6634235457
ambiguous_left_bottom,ambiguous,blue_first,5,,,28077.6970023661
fixation,ambiguous,_,1,,,28080.5802980061
ambiguous_left_bottom,ambiguous,blue_first,5,,,28081.6136831945
fixation,ambiguous,_,1,,,28084.3134953566
ambiguous_left_bottom,ambiguous,blue_first,5,,,28085.3471007223
fixation,ambiguous,_,1,,,28088.0136902083
ambiguous_left_top,ambiguous,red_second,5,,,28089.0304154754
fixation,ambiguous,_,1,,,28092.7303648421
ambiguous_left_bottom,ambiguous,red_first,5,,,28093.7637072661
fixation,ambiguous,_,1,,,28096.5304130462
ambiguous_left_top,ambiguous,red_second,5,,,28097.5639330368
fixation,ambiguous,_,1,,,28101.4137287087
ambiguous_left_bottom,ambiguous,red_first,5,,,28102.4470982255
fixation,ambiguous,_,1,,,28105.1970590161
ambiguous_left_bottom,ambiguous,blue_first,5,,,28106.2306548327
fixation,ambiguous,_,1,,,28108.8971382237
ambiguous_left_top,ambiguous,red_second,5,,,28109.9306184932
fixation,ambiguous,_,1,,,28113.3138339598
ambiguous_left_bottom,ambiguous,blue_first,5,,,28114.3473231443
fixation,ambiguous,_,1,,,28117.0305154336
ambiguous_left_top,ambiguous,blue_second,5,,24,28118.0640255715
fixation,ambiguous,_,1,,,28121.3301198662
ambiguous_left_top,ambiguous,blue_second,5,,24,28122.3640184359
fixation,ambiguous,_,1,,,28125.897252496
ambiguous_left_top,ambiguous,red_second,5,,,28126.9307390447
fixation,ambiguous,_,1,,,28130.3472736632
ambiguous_left_top,ambiguous,blue_second,5,,,28131.3807943579
fixation,ambiguous,_,1,,,28134.6639727832
ambiguous_left_bottom,ambiguous,red_first,5,,,28135.697452185
fixation,ambiguous,_,1,,,28138.513461201
ambiguous_left_bottom,ambiguous,red_first,5,,,28139.5473908171
fixation,ambiguous,_,1,,,28142.213958499
ambiguous_left_bottom,ambiguous,red_first,5,,30,28143.2475037905
fixation,ambiguous,_,1,,,28146.0973894953
ambiguous_left_bottom,ambiguous,blue_first,5,,,28147.1308263664
fixation,ambiguous,_,1,,,28149.8467573517
ambiguous_left_bottom,ambiguous,red_first,5,,,28150.8808613615
fixation,ambiguous,_,1,,,28153.4640763531
ambiguous_left_top,ambiguous,red_second,5,,,28154.4974995678
fixation,ambiguous,_,1,,,28157.5972147644
ambiguous_left_top,ambiguous,blue_second,5,,,NaN
fixation,ambiguous,_,1,,,NaN
ambiguous_left_bottom,ambiguous,blue_first,5,,,NaN
fixation,ambiguous,_,1,,,NaN
ambiguous_left_top,ambiguous,blue_second,5,,,NaN
fixation,ambiguous,_,1,,,NaN
ambiguous_left_top,ambiguous,red_second,5,,12,NaN
fixation,ambiguous,_,1,,,NaN
ambiguous_left_bottom,ambiguous,red_first,5,,,NaN
fixation,ambiguous,_,1,,,NaN
ambiguous_left_bottom,ambiguous,blue_first,5,,,NaN
fixation,ambiguous,_,1,,,NaN
ambiguous_left_top,ambiguous,blue_second,5,,36,NaN
fixation,ambiguous,_,1,,,NaN
ambiguous_left_bottom,ambiguous,red_first,5,,24,NaN
fixation,ambiguous,_,1,,,NaN
ambiguous_left_top,ambiguous,blue_second,5,,18,NaN
fixation,ambiguous,_,1,,,NaN
ambiguous_left_top,ambiguous,blue_second,5,,,NaN
fixation,ambiguous,_,1,,,NaN
ambiguous_left_top,ambiguous,red_second,5,,30,NaN
fixation,ambiguous,_,1,,,NaN
ambiguous_left_bottom,ambiguous,blue_first,5,,,NaN
fixation,ambiguous,_,1,,,NaN
ambiguous_left_top,ambiguous,blue_second,5,,,NaN
fixation,ambiguous,_,1,,,NaN
