stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
ambiguous_left_bottom,ambiguous,red_first,0.37,,,9419.53642116044
fixation,ambiguous,_,0.13,,,9419.91978711427
ambiguous_left_top,ambiguous,red_second,0.37,,,9420.05266973257
fixation,ambiguous,_,0.13,,,9420.43644706373
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,9420.5693271373
fixation,ambiguous,_,0.13,,,9420.95312178088
ambiguous_left_top,ambiguous,blue_second,0.37,,,9421.08599763511
fixation,ambiguous,_,0.13,,,9421.46979327196
ambiguous_left_bottom,ambiguous,red_first,0.37,,,9421.6026679474
fixation,ambiguous,_,0.13,,,9421.98645899387
ambiguous_left_top,ambiguous,red_second,0.37,,,9422.11932020355
fixation,ambiguous,_,0.13,,,9422.50311242716
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,9422.63598977211
fixation,ambiguous,_,0.13,,,9423.01978851026
ambiguous_left_top,ambiguous,blue_second,0.37,,,9423.15265096275
fixation,ambiguous,_,0.13,,,9423.53645174818
ambiguous_left_bottom,ambiguous,red_first,0.37,,,9423.66934144085
fixation,ambiguous,_,0.13,,,9424.05312528654
ambiguous_left_top,ambiguous,red_second,0.37,,,9424.18598569175
fixation,ambiguous,_,0.13,,,9424.56978728493
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,9424.70266022338
fixation,ambiguous,_,0.13,,,9425.08647521994
ambiguous_left_top,ambiguous,blue_second,0.37,,,9425.21931136149
fixation,ambiguous,_,0.13,,,9425.60313734145
ambiguous_left_bottom,ambiguous,red_first,0.37,,,9425.7359821072
fixation,ambiguous,_,0.13,,,9426.11977911
ambiguous_left_top,ambiguous,red_second,0.37,,,9426.25266607078
fixation,ambiguous,_,0.13,,,9426.6364585423
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,9426.76933601039
fixation,ambiguous,_,0.13,,,9427.15312314781
ambiguous_left_top,ambiguous,blue_second,0.37,,,9427.28599155335
fixation,ambiguous,_,0.13,,,9427.66978222714
ambiguous_left_bottom,ambiguous,red_first,0.37,,,9427.80265001537
fixation,ambiguous,_,0.13,,,9428.18645316002
ambiguous_left_top,ambiguous,red_second,0.37,,,9428.31930146541
fixation,ambiguous,_,0.13,,,9428.70312142503
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,9428.83596575735
fixation,ambiguous,_,0.13,,,9429.21978832408
ambiguous_left_top,ambiguous,blue_second,0.37,,,9429.35266604008
fixation,ambiguous,_,0.13,,,9429.73645720968
ambiguous_left_bottom,ambiguous,red_first,0.37,,10,9429.86931562671
fixation,ambiguous,_,0.13,,,9430.25311393143
ambiguous_left_top,ambiguous,red_second,0.37,,,9430.38597563856
fixation,ambiguous,_,0.13,,,9430.76980372984
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,9430.90266251955
fixation,ambiguous,_,0.13,,,9431.28645300454
ambiguous_left_top,ambiguous,blue_second,0.37,,,9431.41931353453
fixation,ambiguous,_,0.13,,,9431.80313175715
ambiguous_left_bottom,ambiguous,red_first,0.37,,,9431.93598216894
fixation,ambiguous,_,0.13,,,9432.31978916188
ambiguous_left_top,ambiguous,red_second,0.37,,,9432.4526567022
fixation,ambiguous,_,0.13,,,9432.83646139832
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,9432.9693217395
fixation,ambiguous,_,0.13,,,9433.35313357237
ambiguous_left_top,ambiguous,blue_second,0.37,,,9433.48598131628
fixation,ambiguous,_,0.13,,,9433.86979457585
ambiguous_left_bottom,ambiguous,red_first,0.37,,,9434.00265808235
fixation,ambiguous,_,0.13,,,9434.38646321354
ambiguous_left_top,ambiguous,red_second,0.37,,,9434.51933906777
fixation,ambiguous,_,0.13,,,9434.9031176401
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,9435.03596284092
fixation,ambiguous,_,0.13,,,9435.41977119817
ambiguous_left_top,ambiguous,blue_second,0.37,,,9435.55265518242
fixation,ambiguous,_,0.13,,,9435.93646062225
ambiguous_left_bottom,ambiguous,red_first,0.37,,,9436.06930036256
fixation,ambiguous,_,0.13,,,9436.45312286691
ambiguous_left_top,ambiguous,red_second,0.37,,,9436.58597892801
fixation,ambiguous,_,0.13,,,9436.96979808315
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,9437.10263949806
fixation,ambiguous,_,0.13,,,9437.48645114376
ambiguous_left_top,ambiguous,blue_second,0.37,,,9437.61934797155
fixation,ambiguous,_,0.13,,,9438.00312257246
ambiguous_left_bottom,ambiguous,red_first,0.37,,,9438.13598645164
fixation,ambiguous,_,0.13,,,9438.51978010196
ambiguous_left_top,ambiguous,red_second,0.37,,,9438.65266135431
fixation,ambiguous,_,0.13,,,9439.03645674489
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,9439.16932478103
fixation,ambiguous,_,0.13,,,9439.55314449274
ambiguous_left_top,ambiguous,blue_second,0.37,,9.5,9439.68599713897
fixation,ambiguous,_,0.13,,,9440.06979103883
ambiguous_left_bottom,ambiguous,red_first,0.37,,,9440.20265361609
fixation,ambiguous,_,0.13,,,9440.58646873578
ambiguous_left_top,ambiguous,red_second,0.37,,,9440.71933267571
fixation,ambiguous,_,0.13,,,9441.10312247937
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,9441.23601341322
fixation,ambiguous,_,0.13,,,9441.61978441537
ambiguous_left_top,ambiguous,blue_second,0.37,,,9441.75266932886
fixation,ambiguous,_,0.13,,,9442.13646695225
ambiguous_left_bottom,ambiguous,red_first,0.37,,,9442.26933268992
fixation,ambiguous,_,0.13,,,9442.65312950719
ambiguous_left_top,ambiguous,red_second,0.37,,,9442.78601522679
fixation,ambiguous,_,0.13,,,9443.16978747176
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,9443.30268311912
fixation,ambiguous,_,0.13,,,9443.68644996432
ambiguous_left_top,ambiguous,blue_second,0.37,,,9443.81933866373
fixation,ambiguous,_,0.13,,,9444.20311909782
ambiguous_left_bottom,ambiguous,red_first,0.37,,,9444.33600208881
fixation,ambiguous,_,0.13,,,9444.71977861386
ambiguous_left_top,ambiguous,red_second,0.37,,,9444.85266017651
fixation,ambiguous,_,0.13,,,9445.23646530769
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,9445.36933650751
fixation,ambiguous,_,0.13,,,9445.75313822546
ambiguous_left_top,ambiguous,blue_second,0.37,,,9445.88599416015
fixation,ambiguous,_,0.13,,,9446.26978924043
ambiguous_left_bottom,ambiguous,red_first,0.37,,,9446.40266825835
fixation,ambiguous,_,0.13,,,9446.78644621173
