stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
vertical_bottom,vertical,red_first,0.37,,,316.642839810947
fixation,vertical,_,0.13,,,317.026076457928
vertical_top,vertical,red_second,0.37,,,317.176090483035
fixation,vertical,_,0.13,,,317.559414321495
vertical_bottom,vertical,blue_first,0.37,,,317.709391422096
fixation,vertical,_,0.13,,,318.092866061477
vertical_top,vertical,blue_second,0.37,,,318.242760314659
fixation,vertical,_,0.13,,,318.626097495588
vertical_bottom,vertical,red_first,0.37,,,318.776135102731
fixation,vertical,_,0.13,,,319.159398124359
vertical_top,vertical,red_second,0.37,,,319.309384843949
fixation,vertical,_,0.13,,,319.69278439316
vertical_bottom,vertical,blue_first,0.37,,,319.842732947084
fixation,vertical,_,0.13,,,320.226136219775
vertical_top,vertical,blue_second,0.37,,,320.376050641804
fixation,vertical,_,0.13,,,320.759421644338
vertical_bottom,vertical,red_first,0.37,,,320.909361510144
fixation,vertical,_,0.13,,,321.29271917021
vertical_top,vertical,red_second,0.37,,,321.442825351434
fixation,vertical,_,0.13,,,321.826170289612
vertical_bottom,vertical,blue_first,0.37,,,321.976103639329
fixation,vertical,_,0.13,,,322.359340906891
vertical_top,vertical,blue_second,0.37,,,322.509424436948
fixation,vertical,_,0.13,,,322.8928165392
vertical_bottom,vertical,red_first,0.37,,,323.042695588173
fixation,vertical,_,0.13,,,323.426059764329
vertical_top,vertical,red_second,0.37,,,323.576049586818
fixation,vertical,_,0.13,,,323.959329364104
vertical_bottom,vertical,blue_first,0.37,,,324.109323220363
fixation,vertical,_,0.13,,,324.492657608682
vertical_top,vertical,blue_second,0.37,,,324.64265953248
fixation,vertical,_,0.13,,,325.026053806761
vertical_bottom,vertical,red_first,0.37,,,325.176120270871
fixation,vertical,_,0.13,,,325.559314408128
vertical_top,vertical,red_second,0.37,,,325.709392973546
fixation,vertical,_,0.13,,,326.092651651115
horizontal_right,horizontal,blue_first,0.37,,9,326.242627200266
fixation,horizontal,_,0.13,,,326.626041643395
horizontal_left,horizontal,blue_second,0.37,,,326.775999816308
fixation,horizontal,_,0.13,,,327.159286109684
horizontal_right,horizontal,red_first,0.37,,,327.309287723192
fixation,horizontal,_,0.13,,,327.692610320492
horizontal_left,horizontal,red_second,0.37,,,327.842616898639
fixation,horizontal,_,0.13,,,328.226033824088
horizontal_right,horizontal,blue_first,0.37,,,328.376016199618
fixation,horizontal,_,0.13,,,328.759355552577
horizontal_left,horizontal,blue_second,0.37,,,328.909372060003
fixation,horizontal,_,0.13,,,329.292609327564
horizontal_right,horizontal,red_first,0.37,,,329.442593564834
fixation,horizontal,_,0.13,,,329.826002733034
horizontal_left,horizontal,red_second,0.37,,,329.976013965531
fixation,horizontal,_,0.13,,,330.35934835385
horizontal_right,horizontal,blue_first,0.37,,,330.50933166025
fixation,horizontal,_,0.13,,,330.89266139422
horizontal_left,horizontal,blue_second,0.37,,,331.042534857974
fixation,horizontal,_,0.13,,,331.425979399229
horizontal_right,horizontal,red_first,0.37,,,331.576094889152
fixation,horizontal,_,0.13,,,331.959345188892
horizontal_left,horizontal,red_second,0.37,,,332.109299017746
fixation,horizontal,_,0.13,,,332.492580967062
horizontal_right,horizontal,blue_first,0.37,,,332.642637501893
fixation,horizontal,_,0.13,,,333.025890904532
horizontal_left,horizontal,blue_second,0.37,,,333.175903688479
fixation,horizontal,_,0.13,,,333.559295790731
horizontal_right,horizontal,red_first,0.37,,,333.709293991049
fixation,horizontal,_,0.13,,,334.092560425867
vertical_top,vertical,red_second,0.37,,7.5,334.242550558646
fixation,vertical,_,0.13,,,334.625873776527
vertical_bottom,vertical,blue_first,0.37,,,334.775885009023
fixation,vertical,_,0.13,,,335.159341031007
vertical_top,vertical,blue_second,0.37,,,335.309202703743
fixation,vertical,_,0.13,,,335.692526852493
vertical_bottom,vertical,red_first,0.37,,,335.842523811652
fixation,vertical,_,0.13,,,336.2259407371
vertical_top,vertical,red_second,0.37,,,336.375841506371
fixation,vertical,_,0.13,,,336.759247571671
vertical_bottom,vertical,blue_first,0.37,,,336.909340720717
fixation,vertical,_,0.13,,,337.292507862748
vertical_top,vertical,blue_second,0.37,,,337.442508855675
fixation,vertical,_,0.13,,,337.825841382255
vertical_bottom,vertical,red_first,0.37,,,337.975840823733
fixation,vertical,_,0.13,,,338.359249061063
vertical_top,vertical,red_second,0.37,,,338.509225851374
fixation,vertical,_,0.13,,,338.892497871411
vertical_bottom,vertical,blue_first,0.37,,,339.042507552458
fixation,vertical,_,0.13,,,339.42581773816
vertical_top,vertical,blue_second,0.37,,,339.575821213407
fixation,vertical,_,0.13,,,339.959212074499
vertical_bottom,vertical,red_first,0.37,,,340.109146665376
fixation,vertical,_,0.13,,,340.492557074735
vertical_top,vertical,red_second,0.37,,,340.642569238102
fixation,vertical,_,0.13,,,341.025791611745
vertical_bottom,vertical,blue_first,0.37,,,341.175877934412
fixation,vertical,_,0.13,,,341.559189050984
vertical_top,vertical,blue_second,0.37,,,341.709183838113
fixation,vertical,_,0.13,,,342.092530948321
vertical_bottom,vertical,red_first,0.37,,,342.242549007196
fixation,vertical,_,0.13,,,342.625794032007
horizontal_left,horizontal,red_second,0.37,,8,342.775794094065
fixation,horizontal,_,0.13,,,343.159268423156
horizontal_right,horizontal,blue_first,0.37,,,343.30914188691
fixation,horizontal,_,0.13,,,343.692579291496
horizontal_left,horizontal,blue_second,0.37,,,343.842579663844
fixation,horizontal,_,0.13,,,344.225770387912
horizontal_right,horizontal,red_first,0.37,,,344.375749970833
fixation,horizontal,_,0.13,,,344.759107630899
horizontal_left,horizontal,red_second,0.37,,,344.909245771989
fixation,horizontal,_,0.13,,,345.292492968829
horizontal_right,horizontal,blue_first,0.37,,,345.44247596494
fixation,horizontal,_,0.13,,,345.825744882077
horizontal_left,horizontal,blue_second,0.37,,,345.975741841236
fixation,horizontal,_,0.13,,,346.359103845361
horizontal_right,horizontal,red_first,0.37,,,346.509080945962
fixation,horizontal,_,0.13,,,346.892432089939
horizontal_left,horizontal,red_second,0.37,,,347.04256619726
fixation,horizontal,_,0.13,,,347.425733339291
horizontal_right,horizontal,blue_first,0.37,,,347.57572440294
fixation,horizontal,_,0.13,,,347.95905227517
horizontal_left,horizontal,blue_second,0.37,,,348.109008276054
fixation,horizontal,_,0.13,,,348.49244599093
horizontal_right,horizontal,red_first,0.37,,,348.642524246057
fixation,horizontal,_,0.13,,,349.025722417084
horizontal_left,horizontal,red_second,0.37,,,349.175691139856
fixation,horizontal,_,0.13,,,349.559032354555
horizontal_right,horizontal,blue_first,0.37,,,349.709038312122
fixation,horizontal,_,0.13,,,350.092432896693
horizontal_left,horizontal,blue_second,0.37,,,350.242381450618
fixation,horizontal,_,0.13,,,350.625720493287
horizontal_right,horizontal,red_first,0.37,,,350.775786026526
fixation,horizontal,_,0.13,,,351.159030120467
horizontal_left,horizontal,red_second,0.37,,,351.309110237335
fixation,horizontal,_,0.13,,,351.692416389267
horizontal_right,horizontal,blue_first,0.37,,,351.842500850194
fixation,horizontal,_,0.13,,,352.225738117756
horizontal_left,horizontal,blue_second,0.37,,,352.375759279532
fixation,horizontal,_,0.13,,,352.758986617815
vertical_bottom,vertical,red_first,0.37,,9.5,352.908999401761
fixation,vertical,_,0.13,,,353.29233782385
vertical_top,vertical,red_second,0.37,,,353.44239497926
fixation,vertical,_,0.13,,,353.825720679461
vertical_bottom,vertical,blue_first,0.37,,,353.975732532537
fixation,vertical,_,0.13,,,354.358973833868
vertical_top,vertical,blue_second,0.37,,,354.509076912193
fixation,vertical,_,0.13,,,354.892378409776
vertical_bottom,vertical,red_first,0.37,,,355.042454182585
fixation,vertical,_,0.13,,,355.425645216942
vertical_top,vertical,red_second,0.37,,,355.57580321659
fixation,vertical,_,0.13,,,355.958944914844
vertical_bottom,vertical,blue_first,0.37,,,356.10895831937
fixation,vertical,_,0.13,,,356.49228743276
vertical_top,vertical,blue_second,0.37,,,356.64227042887
fixation,vertical,_,0.13,,,357.025779200147
vertical_bottom,vertical,red_first,0.37,,,357.175680589998
fixation,vertical,_,0.13,,,357.558929648578
vertical_top,vertical,red_second,0.37,,,357.709013488925
fixation,vertical,_,0.13,,,358.092279303163
vertical_bottom,vertical,blue_first,0.37,,,358.242348559882
fixation,vertical,_,0.13,,,358.625744695903
vertical_top,vertical,blue_second,0.37,,,358.775580614573
fixation,vertical,_,0.13,,,359.158922139561
vertical_bottom,vertical,red_first,0.37,,,359.308924994229
fixation,vertical,_,0.13,,,359.692331990398
vertical_top,vertical,red_second,0.37,,,359.842242378658
fixation,vertical,_,0.13,,,360.225716087169
vertical_bottom,vertical,blue_first,0.37,,,360.375633922388
fixation,vertical,_,0.13,,,360.758965828387
vertical_top,vertical,blue_second,0.37,,,360.908968993345
fixation,vertical,_,0.13,,,361.292251873531
vertical_bottom,vertical,red_first,0.37,,,361.442227112392
fixation,vertical,_,0.13,,,361.825710439892
vertical_top,vertical,red_second,0.37,,,361.97563230888
fixation,vertical,_,0.13,,,362.358947148932
vertical_bottom,vertical,blue_first,0.37,,,362.508971413607
fixation,vertical,_,0.13,,,362.892213025228
vertical_top,vertical,blue_second,0.37,,,363.042209984386
fixation,vertical,_,0.13,,,363.425686485507
horizontal_right,horizontal,red_first,0.37,,10,363.575512474898
fixation,horizontal,_,0.13,,,363.958929090056
horizontal_left,horizontal,red_second,0.37,,,364.108982211697
fixation,horizontal,_,0.13,,,364.492204585341
horizontal_right,horizontal,blue_first,0.37,,,364.642192235801
fixation,horizontal,_,0.13,,,365.025683320549
horizontal_left,horizontal,blue_second,0.37,,,365.175581607501
fixation,horizontal,_,0.13,,,365.55891692669
horizontal_right,horizontal,red_first,0.37,,,365.709001387617
fixation,horizontal,_,0.13,,,366.092180010376
horizontal_left,horizontal,red_second,0.37,,,366.242167660836
fixation,horizontal,_,0.13,,,366.625518804813
horizontal_right,horizontal,blue_first,0.37,,,366.775581855733
fixation,horizontal,_,0.13,,,367.158892972305
horizontal_left,horizontal,blue_second,0.37,,,367.309003807878
fixation,horizontal,_,0.13,,,367.69224200631
horizontal_right,horizontal,red_first,0.37,,,367.842116711224
fixation,horizontal,_,0.13,,,368.225578318427
horizontal_left,horizontal,red_second,0.37,,,368.375493981616
fixation,horizontal,_,0.13,,,368.758814096597
horizontal_right,horizontal,blue_first,0.37,,,368.908890489985
fixation,horizontal,_,0.13,,,369.292165612922
horizontal_left,horizontal,blue_second,0.37,,,369.442107650757
fixation,horizontal,_,0.13,,,369.825459105024
horizontal_right,horizontal,red_first,0.37,,,369.975527741164
fixation,horizontal,_,0.13,,,370.358875161661
horizontal_left,horizontal,red_second,0.37,,,370.50886932821
fixation,horizontal,_,0.13,,,370.892133590998
horizontal_right,horizontal,blue_first,0.37,,,371.042137997116
fixation,horizontal,_,0.13,,,371.425401949614
horizontal_left,horizontal,blue_second,0.37,,,371.575450106616
fixation,horizontal,_,0.13,,,371.95882110915
horizontal_right,horizontal,red_first,0.37,,,372.108839788606
fixation,horizontal,_,0.13,,,372.492119876182
horizontal_left,horizontal,red_second,0.37,,,372.642144140857
fixation,horizontal,_,0.13,,,373.025519177161
horizontal_right,horizontal,blue_first,0.37,,,373.175430186
fixation,horizontal,_,0.13,,,373.558829735211
