stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
vertical_bottom,vertical,red_first,0.37,,,19854.6472177059
fixation,vertical,_,0.13,,,19855.0305430131
vertical_top,vertical,red_second,0.37,,,19855.1634290291
fixation,vertical,_,0.13,,,19855.5472027448
vertical_bottom,vertical,blue_first,0.37,,,19855.6800567028
fixation,vertical,_,0.13,,,19856.0638658483
vertical_top,vertical,blue_second,0.37,,,19856.1967532865
fixation,vertical,_,0.13,,,19856.5805191983
vertical_bottom,vertical,red_first,0.37,,,19856.7133855731
fixation,vertical,_,0.13,,,19857.0971968854
vertical_top,vertical,red_second,0.37,,,19857.2300767008
fixation,vertical,_,0.13,,,19857.6138566637
vertical_bottom,vertical,blue_first,0.37,,,19857.7467313335
fixation,vertical,_,0.13,,,19858.1305094811
vertical_top,vertical,blue_second,0.37,,,19858.2633906256
fixation,vertical,_,0.13,,,19858.6471787955
vertical_bottom,vertical,red_first,0.37,,,19858.7800428689
fixation,vertical,_,0.13,,,19859.1638361328
vertical_top,vertical,red_second,0.37,,,19859.2967257016
fixation,vertical,_,0.13,,,19859.6805010101
vertical_bottom,vertical,blue_first,0.37,,,19859.8132341365
fixation,vertical,_,0.13,,,19860.1971714726
vertical_top,vertical,blue_second,0.37,,,19860.3299974995
fixation,vertical,_,0.13,,,19860.7138102805
vertical_bottom,vertical,red_first,0.37,,,19860.8465045536
fixation,vertical,_,0.13,,,19861.2304889915
vertical_top,vertical,red_second,0.37,,,19861.3633535045
fixation,vertical,_,0.13,,,19861.7471489456
vertical_bottom,vertical,blue_first,0.37,,,19861.8800029088
fixation,vertical,_,0.13,,,19862.2637918286
vertical_top,vertical,blue_second,0.37,,,19862.396670801
fixation,vertical,_,0.13,,,19862.7804501484
vertical_bottom,vertical,red_first,0.37,,,19862.913336211
fixation,vertical,_,0.13,,,19863.2971193698
vertical_top,vertical,red_second,0.37,,,19863.4300010418
fixation,vertical,_,0.13,,,19863.8137808753
vertical_bottom,vertical,blue_first,0.37,,,19863.946657893
fixation,vertical,_,0.13,,,19864.3304281954
vertical_top,vertical,blue_second,0.37,,,19864.4632996693
fixation,vertical,_,0.13,,,19864.8471000336
horizontal_right,horizontal,red_first,0.37,,10,19864.9799864944
fixation,horizontal,_,0.13,,,19865.3637673467
horizontal_left,horizontal,red_second,0.37,,,19865.4966371863
fixation,horizontal,_,0.13,,,19865.8804077525
horizontal_right,horizontal,blue_first,0.37,,,19866.0132660546
fixation,horizontal,_,0.13,,,19866.3970733797
horizontal_left,horizontal,blue_second,0.37,,,19866.5299318214
fixation,horizontal,_,0.13,,,19867.9470283722
horizontal_right,horizontal,red_first,0.37,,,19868.0799424642
fixation,horizontal,_,0.13,,,19868.463717902
horizontal_left,horizontal,red_second,0.37,,,19868.5965936371
fixation,horizontal,_,0.13,,,19868.9804020224
horizontal_right,horizontal,blue_first,0.37,,,19869.1132402901
fixation,horizontal,_,0.13,,,19869.4970412285
horizontal_left,horizontal,blue_second,0.37,,,19869.6299211732
fixation,horizontal,_,0.13,,,19870.0136978573
horizontal_right,horizontal,red_first,0.37,,,19870.1465727908
fixation,horizontal,_,0.13,,,19870.5303567046
horizontal_left,horizontal,red_second,0.37,,,19870.66322898
fixation,horizontal,_,0.13,,,19871.0470410009
horizontal_right,horizontal,blue_first,0.37,,,19871.1798888927
fixation,horizontal,_,0.13,,,19871.5636870798
horizontal_left,horizontal,blue_second,0.37,,,19871.6965673348
fixation,horizontal,_,0.13,,,19872.0803495627
horizontal_right,horizontal,red_first,0.37,,,19872.2132161599
fixation,horizontal,_,0.13,,,19872.5969962623
horizontal_left,horizontal,red_second,0.37,,,19872.7298767345
fixation,horizontal,_,0.13,,,19873.113661362
horizontal_right,horizontal,blue_first,0.37,,,19873.2465318584
fixation,horizontal,_,0.13,,,19873.630331778
horizontal_left,horizontal,blue_second,0.37,,,19873.7631743432
fixation,horizontal,_,0.13,,,19874.1469777225
horizontal_right,horizontal,red_first,0.37,,,19874.2798689307
fixation,horizontal,_,0.13,,,19874.6636586055
vertical_top,vertical,red_second,0.37,,8.5,19874.7965366471
fixation,vertical,_,0.13,,,19875.1803054344
vertical_bottom,vertical,blue_first,0.37,,,19875.31319159
fixation,vertical,_,0.13,,,19875.6969604238
vertical_top,vertical,blue_second,0.37,,,19875.8298186017
fixation,vertical,_,0.13,,,19877.2469153698
vertical_bottom,vertical,red_first,0.37,,,19877.3798344264
fixation,vertical,_,0.13,,,19877.7636196228
vertical_top,vertical,red_second,0.37,,,19877.8964837841
fixation,vertical,_,0.13,,,19878.2802835692
vertical_bottom,vertical,blue_first,0.37,,,19878.4131636949
fixation,vertical,_,0.13,,,19878.7969320891
vertical_top,vertical,blue_second,0.37,,,19878.9298025442
fixation,vertical,_,0.13,,,19879.3136005089
vertical_bottom,vertical,red_first,0.37,,,19879.4464674629
fixation,vertical,_,0.13,,,19879.8302498718
vertical_top,vertical,red_second,0.37,,,19879.9631384632
fixation,vertical,_,0.13,,,19880.3469174537
vertical_bottom,vertical,blue_first,0.37,,,19880.4797883535
fixation,vertical,_,0.13,,,19880.8635793575
vertical_top,vertical,blue_second,0.37,,,19880.9964412123
fixation,vertical,_,0.13,,,19881.3802336798
vertical_bottom,vertical,red_first,0.37,,,19881.5131271945
fixation,vertical,_,0.13,,,19881.8968916842
vertical_top,vertical,red_second,0.37,,,19882.0297764643
fixation,vertical,_,0.13,,,19882.4135531484
vertical_bottom,vertical,blue_first,0.37,,,19882.5464432033
fixation,vertical,_,0.13,,,19882.9302281773
vertical_top,vertical,blue_second,0.37,,,19883.0630968172
fixation,vertical,_,0.13,,,19883.44687829
vertical_bottom,vertical,red_first,0.37,,,19883.5797566419
fixation,vertical,_,0.13,,,19883.9635369201
vertical_top,vertical,red_second,0.37,,,19884.0964259977
fixation,vertical,_,0.13,,,19884.4801868519
vertical_bottom,vertical,blue_first,0.37,,,19884.6130814733
fixation,vertical,_,0.13,,,19884.9968675126
vertical_top,vertical,blue_second,0.37,,,19885.1297126532
fixation,vertical,_,0.13,,,19885.5135204179
vertical_bottom,vertical,red_first,0.37,,,19885.6463931846
fixation,vertical,_,0.13,,,19886.0301677846
horizontal_left,horizontal,red_second,0.37,,10,19886.1630520319
fixation,horizontal,_,0.13,,,19886.5468250754
horizontal_right,horizontal,blue_first,0.37,,,19886.6797218739
fixation,horizontal,_,0.13,,,19887.0634762534
horizontal_left,horizontal,blue_second,0.37,,,19887.1963174379
fixation,horizontal,_,0.13,,,19888.613452661
horizontal_right,horizontal,red_first,0.37,,,19888.7463137143
fixation,horizontal,_,0.13,,,19889.1301370917
horizontal_left,horizontal,red_second,0.37,,,19889.2630087879
fixation,horizontal,_,0.13,,,19889.6467889783
horizontal_right,horizontal,blue_first,0.37,,,19889.7796537551
fixation,horizontal,_,0.13,,,19890.163461437
horizontal_left,horizontal,blue_second,0.37,,,19890.2963270153
fixation,horizontal,_,0.13,,,19890.680126666
horizontal_right,horizontal,red_first,0.37,,,19890.8129827547
fixation,horizontal,_,0.13,,,19891.196775672
horizontal_left,horizontal,red_second,0.37,,,19891.3296325571
fixation,horizontal,_,0.13,,,19891.7134517663
horizontal_right,horizontal,blue_first,0.37,,,19891.8463110974
fixation,horizontal,_,0.13,,,19892.2301085295
horizontal_left,horizontal,blue_second,0.37,,,19892.3629653267
fixation,horizontal,_,0.13,,,19892.7467645377
horizontal_right,horizontal,red_first,0.37,,,19892.8796197886
fixation,horizontal,_,0.13,,,19893.2634110614
horizontal_left,horizontal,red_second,0.37,,,19893.3962973464
fixation,horizontal,_,0.13,,,19893.7800818808
horizontal_right,horizontal,blue_first,0.37,,,19893.9129649284
fixation,horizontal,_,0.13,,,19894.2967450257
horizontal_left,horizontal,blue_second,0.37,,,19894.4296013832
fixation,horizontal,_,0.13,,,19894.8134020062
horizontal_right,horizontal,red_first,0.37,,,19894.9462419132
fixation,horizontal,_,0.13,,,19895.3300558475
horizontal_left,horizontal,red_second,0.37,,,19895.4629027154
fixation,horizontal,_,0.13,,,19895.846716779
horizontal_right,horizontal,blue_first,0.37,,,19895.9796011608
fixation,horizontal,_,0.13,,,19896.3633760245
horizontal_left,horizontal,blue_second,0.37,,,19896.4962712665
fixation,horizontal,_,0.13,,,19896.8800409898
vertical_bottom,vertical,red_first,0.37,,9.5,19897.0129043961
fixation,vertical,_,0.13,,,19897.3967138053
vertical_top,vertical,red_second,0.37,,,19897.5295572135
fixation,vertical,_,0.13,,,19897.9133797893
vertical_bottom,vertical,blue_first,0.37,,,19898.0462059041
fixation,vertical,_,0.13,,,19898.4300335376
vertical_top,vertical,blue_second,0.37,,,19898.5628684749
fixation,vertical,_,0.13,,,19899.9799602784
vertical_bottom,vertical,red_first,0.37,,,19900.1128617364
fixation,vertical,_,0.13,,,19900.4966777031
vertical_top,vertical,red_second,0.37,,,19900.6295493114
fixation,vertical,_,0.13,,,19901.0133392086
vertical_bottom,vertical,blue_first,0.37,,,19901.1462089137
fixation,vertical,_,0.13,,,19901.5300000987
vertical_top,vertical,blue_second,0.37,,,19901.6628691367
fixation,vertical,_,0.13,,,19902.0466483496
vertical_bottom,vertical,red_first,0.37,,,19902.1795229264
fixation,vertical,_,0.13,,,19902.5633130925
vertical_top,vertical,red_second,0.37,,,19902.6961781847
fixation,vertical,_,0.13,,,19903.0799794334
vertical_bottom,vertical,blue_first,0.37,,,19903.2128389817
fixation,vertical,_,0.13,,,19903.5966388134
vertical_top,vertical,blue_second,0.37,,,19903.7295093149
fixation,vertical,_,0.13,,,19904.1132780143
vertical_bottom,vertical,red_first,0.37,,,19904.2461443942
fixation,vertical,_,0.13,,,19904.6299559754
vertical_top,vertical,red_second,0.37,,,19904.7628156583
fixation,vertical,_,0.13,,,19905.146603911
vertical_bottom,vertical,blue_first,0.37,,,19905.2795092218
fixation,vertical,_,0.13,,,19905.6632784538
vertical_top,vertical,blue_second,0.37,,,19905.7961557869
fixation,vertical,_,0.13,,,19906.1799395197
horizontal_right,horizontal,red_first,0.37,,8,19906.3128026623
fixation,horizontal,_,0.13,,,19906.6965967691
horizontal_left,horizontal,red_second,0.37,,,19906.8294802615
fixation,horizontal,_,0.13,,,19907.2132456872
horizontal_right,horizontal,blue_first,0.37,,,19907.3461180505
fixation,horizontal,_,0.13,,,19907.7299098095
horizontal_left,horizontal,blue_second,0.37,,,19907.8627471412
fixation,horizontal,_,0.13,,,19908.24656453
horizontal_right,horizontal,red_first,0.37,,,19908.3794357401
fixation,horizontal,_,0.13,,,19909.7965256404
horizontal_left,horizontal,red_second,0.37,,,19909.9294376018
fixation,horizontal,_,0.13,,,19910.3132054168
horizontal_right,horizontal,blue_first,0.37,,,19910.4460845185
fixation,horizontal,_,0.13,,,19910.8298870549
horizontal_left,horizontal,blue_second,0.37,,,19910.9627339228
fixation,horizontal,_,0.13,,,19911.3465288312
horizontal_right,horizontal,red_first,0.37,,,19911.4794071779
fixation,horizontal,_,0.13,,,19911.8632026655
horizontal_left,horizontal,red_second,0.37,,,19911.9960788453
fixation,horizontal,_,0.13,,,19912.3798670101
horizontal_right,horizontal,blue_first,0.37,,,19912.5127268274
fixation,horizontal,_,0.13,,,19912.8965250145
horizontal_left,horizontal,blue_second,0.37,,,19913.0293943164
fixation,horizontal,_,0.13,,,19913.4131701626
horizontal_right,horizontal,red_first,0.37,,,19913.5460539653
fixation,horizontal,_,0.13,,,19913.9298475395
horizontal_left,horizontal,red_second,0.37,,,19914.0627281513
fixation,horizontal,_,0.13,,,19914.4464945958
horizontal_right,horizontal,blue_first,0.37,,,19914.5793657128
fixation,horizontal,_,0.13,,,19914.9631537535
horizontal_left,horizontal,blue_second,0.37,,,19915.0960505469
fixation,horizontal,_,0.13,,,19915.4798277171
horizontal_right,horizontal,red_first,0.37,,,19915.6127042486
fixation,horizontal,_,0.13,,,19915.9964788951
vertical_top,vertical,red_second,0.37,,8.5,19916.1293373782
fixation,vertical,_,0.13,,,19916.5131453653
vertical_bottom,vertical,blue_first,0.37,,,19916.6460319191
fixation,vertical,_,0.13,,,19917.029817162
vertical_top,vertical,blue_second,0.37,,,19917.162649617
fixation,vertical,_,0.13,,,19918.5797534804
vertical_bottom,vertical,red_first,0.37,,,19918.7126558641
fixation,vertical,_,0.13,,,19919.0964343272
vertical_top,vertical,red_second,0.37,,,19919.2293163974
fixation,vertical,_,0.13,,,19919.6131116626
vertical_bottom,vertical,blue_first,0.37,,,19919.7459769255
fixation,vertical,_,0.13,,,19920.1297642576
vertical_top,vertical,blue_second,0.37,,,19920.262636533
fixation,vertical,_,0.13,,,19920.6464243927
vertical_bottom,vertical,red_first,0.37,,,19920.7793068146
fixation,vertical,_,0.13,,,19921.163103233
vertical_top,vertical,red_second,0.37,,,19921.2959541398
fixation,vertical,_,0.13,,,19921.6797426149
vertical_bottom,vertical,blue_first,0.37,,,19921.8126165348
fixation,vertical,_,0.13,,,19922.1963954789
vertical_top,vertical,blue_second,0.37,,,19922.3292877473
fixation,vertical,_,0.13,,,19922.713071749
vertical_bottom,vertical,red_first,0.37,,,19922.8459596319
fixation,vertical,_,0.13,,,19923.229721417
vertical_top,vertical,red_second,0.37,,,19923.3625984397
fixation,vertical,_,0.13,,,19923.7463954737
vertical_bottom,vertical,blue_first,0.37,,,19923.8792663734
fixation,vertical,_,0.13,,,19924.263053566
vertical_top,vertical,blue_second,0.37,,,19924.395940518
fixation,vertical,_,0.13,,,19924.7797162247
vertical_bottom,vertical,red_first,0.37,,,19924.9125622962
fixation,vertical,_,0.13,,,19925.2963731224
vertical_top,vertical,red_second,0.37,,,19925.4292280165
fixation,vertical,_,0.13,,,19925.8130215493
vertical_bottom,vertical,blue_first,0.37,,,19925.9459001235
fixation,vertical,_,0.13,,,19926.3295692254
vertical_top,vertical,blue_second,0.37,,,19926.4625760833
fixation,vertical,_,0.13,,,19926.8463505954
horizontal_right,horizontal,red_first,0.37,,9.5,19926.9792266822
fixation,horizontal,_,0.13,,,19927.3629992446
horizontal_left,horizontal,red_second,0.37,,,19927.4958875723
fixation,horizontal,_,0.13,,,19927.8796714395
horizontal_right,horizontal,blue_first,0.37,,,19928.0125100073
