responseTable_FCRTT1,responseTable_FCRTT2,responseTable_FCRTT3,responseTable_FCRTT4,responseTable_FCRTT5
Stimulus_Type,Accuracy,KeyName,RT,Release_Duration
vertical_top_red,Cor_practice,SOL,0.692891899241658,0.205794184716069
horizontal_right_blue,Cor_practice,SAG_long,0.735355173430435,0.777034010669013
vertical_top_red,Lon_practice,SOL_long,0.614386448090954,0.314665616642742
horizontal_left_red,Cor_practice,SOL,0.505820795639011,0.243887038002867
vertical_top_blue,Cor_practice,SAG,1.02420561347753,0.193271157255367
vertical_bottom_red,Cor_practice,SOL_long,0.719355694072874,0.711997363770934
horizontal_left_blue,Cor_practice,SAG,1.02255734485152,0.190024274052121
horizontal_right_blue,Cor_practice,SAG_long,1.25168893366936,0.661649574296462
vertical_bottom_red,Cor_practice,SOL_long,0.750983526475466,0.910712263281312
vertical_top_blue,Cor_practice,SAG,0.906469022116653,0.172128250647802
vertical_bottom_blue,Cor_practice,SAG_long,0.781918564982334,0.776785157424456
vertical_top_red,Lon_practice,SOL_long,0.862899134452164,0.333232799108373
horizontal_right_red,Cor_practice,SOL_long,0.85242866405315,0.854511457953777
vertical_bottom_blue,Cor_practice,SAG_long,0.851206431630999,0.750658049269987
vertical_top_blue,Cor_practice,SAG,0.756402374361642,0.204913889643649
vertical_bottom_red,Cor_practice,SOL_long,0.51035880273048,0.70222351303164
horizontal_left_red,Correct,SOL,1.43146909188363,0.203924061905127
vertical_bottom_blue,Short_Timing,SAG,0.75609897931281,0.174591959807003
vertical_top_blue,Correct,SAG,1.06031277935836,0.13232507432258
horizontal_right_blue,Short_Timing,SAG,0.565909339846257,0.137404224860802
vertical_bottom_blue,Short_Timing,SAG,0.679545907994907,0.155467184729787
vertical_top_blue,Correct,SAG,0.695706785096263,0.146551598416409
vertical_bottom_red,Short_Timing,SOL,0.698473958687828,0.221016121777211
vertical_bottom_blue,Correct,SAG_long,1.02104299296479,0.703936938974948
