stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23650.3418461
fixation,ambiguous,_,0.13,,,23650.7149638
ambiguous_left_top,ambiguous,white_second,0.37,,,23650.8472934
fixation,ambiguous,_,0.13,,,23651.2208751
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23651.3536176
fixation,ambiguous,_,0.13,,,23651.726033
ambiguous_left_top,ambiguous,white_second,0.37,,,23651.8579691
fixation,ambiguous,_,0.13,,,23652.2299347
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23652.3619
fixation,ambiguous,_,0.13,,,23652.7338748
ambiguous_left_top,ambiguous,white_second,0.37,,,23652.8658973
fixation,ambiguous,_,0.13,,,23653.2377681
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23653.3697285
fixation,ambiguous,_,0.13,,,23653.7416303
ambiguous_left_top,ambiguous,white_second,0.37,,,23653.8735687
fixation,ambiguous,_,0.13,,,23654.2455655
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23654.3780328
fixation,ambiguous,_,0.13,,,23654.749861
ambiguous_left_top,ambiguous,white_second,0.37,,,23654.8817404
fixation,ambiguous,_,0.13,,,23655.2534789
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23655.3855075
fixation,ambiguous,_,0.13,,,23655.757427
ambiguous_left_top,ambiguous,white_second,0.37,,5.5,23655.8898933
fixation,ambiguous,_,0.13,,,23656.26186
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23656.3938256
fixation,ambiguous,_,0.13,,,23656.7657957
ambiguous_left_top,ambiguous,white_second,0.37,,,23656.897732
fixation,ambiguous,_,0.13,,,23657.2696412
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23657.4015625
fixation,ambiguous,_,0.13,,,23657.7735633
ambiguous_left_top,ambiguous,white_second,0.37,,,23657.9055307
fixation,ambiguous,_,0.13,,,23658.2775413
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23658.4094964
fixation,ambiguous,_,0.13,,,23658.7814977
ambiguous_left_top,ambiguous,white_second,0.37,,,23658.9134631
fixation,ambiguous,_,0.13,,,23659.2854373
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23659.4174598
fixation,ambiguous,_,0.13,,,23659.7899243
ambiguous_left_top,ambiguous,white_second,0.37,,,23659.9218551
fixation,ambiguous,_,0.13,,,23660.2937904
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23660.4257211
fixation,ambiguous,_,0.13,,,23660.7976879
ambiguous_left_top,ambiguous,white_second,0.37,,,23660.9296232
fixation,ambiguous,_,0.13,,,23661.3015228
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23661.4335273
fixation,ambiguous,_,0.13,,,23661.8055269
ambiguous_left_top,ambiguous,white_second,0.37,,,23661.9376684
fixation,ambiguous,_,0.13,,,23662.3096606
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23662.4417743
fixation,ambiguous,_,0.13,,,23662.8137584
ambiguous_left_top,ambiguous,white_second,0.37,,,23662.9456903
fixation,ambiguous,_,0.13,,,23663.3177085
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23663.4496243
fixation,ambiguous,_,0.13,,,23663.8219125
ambiguous_left_top,ambiguous,white_second,0.37,,,23663.9537789
fixation,ambiguous,_,0.13,,,23664.325939
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23664.4578562
fixation,ambiguous,_,0.13,,,23664.8297866
ambiguous_left_top,ambiguous,white_second,0.37,,,23664.9616697
fixation,ambiguous,_,0.13,,,23665.3335679
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23665.4655001
fixation,ambiguous,_,0.13,,,23665.8372495
ambiguous_left_top,ambiguous,white_second,0.37,,,23665.969159
fixation,ambiguous,_,0.13,,,23666.3409969
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23666.4732312
fixation,ambiguous,_,0.13,,,23666.8451967
ambiguous_left_top,ambiguous,white_second,0.37,,11,23666.9771655
fixation,ambiguous,_,0.13,,,23667.3491564
ambiguous_left_bottom,ambiguous,white_first,0.37,,,23667.4810979
