stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25675.8920081
fixation,ambiguous,_,0.13,,,25676.2641634
ambiguous_left_top,ambiguous,white_second,0.37,,,25676.3960774
fixation,ambiguous,_,0.13,,,25676.7681324
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25676.9000985
fixation,ambiguous,_,0.13,,,25677.2720974
ambiguous_left_top,ambiguous,white_second,0.37,,,25677.4043802
fixation,ambiguous,_,0.13,,,25677.7763952
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25677.9083979
fixation,ambiguous,_,0.13,,,25678.280439
ambiguous_left_top,ambiguous,white_second,0.37,,,25678.4123631
fixation,ambiguous,_,0.13,,,25678.7843522
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25678.9163514
fixation,ambiguous,_,0.13,,,25679.2884034
ambiguous_left_top,ambiguous,white_second,0.37,,,25679.4210953
fixation,ambiguous,_,0.13,,,25679.7931229
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25679.9250222
fixation,ambiguous,_,0.13,,,25680.2969587
ambiguous_left_top,ambiguous,white_second,0.37,,,25680.428786
fixation,ambiguous,_,0.13,,,25680.8006587
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25680.9325416
fixation,ambiguous,_,0.13,,,25681.3045541
ambiguous_left_top,ambiguous,white_second,0.37,,,25681.4365932
fixation,ambiguous,_,0.13,,,25681.8085272
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25681.940457
fixation,ambiguous,_,0.13,,,25682.3123561
ambiguous_left_top,ambiguous,white_second,0.37,,,25682.4437969
fixation,ambiguous,_,0.13,,,25682.8157996
ambiguous_left_bottom,ambiguous,white_first,0.37,,7,25682.9477586
fixation,ambiguous,_,0.13,,,25683.3197254
ambiguous_left_top,ambiguous,white_second,0.37,,,25683.4516037
fixation,ambiguous,_,0.13,,,25683.8235904
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25683.9555246
fixation,ambiguous,_,0.13,,,25684.327487
ambiguous_left_top,ambiguous,white_second,0.37,,,25684.4595026
fixation,ambiguous,_,0.13,,,25684.8314499
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25684.9633293
fixation,ambiguous,_,0.13,,,25685.3351733
ambiguous_left_top,ambiguous,white_second,0.37,,,25685.4669997
fixation,ambiguous,_,0.13,,,25685.8389207
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25685.971017
fixation,ambiguous,_,0.13,,,25686.3430489
ambiguous_left_top,ambiguous,white_second,0.37,,,25686.4749969
fixation,ambiguous,_,0.13,,,25686.847099
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25686.9790317
fixation,ambiguous,_,0.13,,,25687.3509309
ambiguous_left_top,ambiguous,white_second,0.37,,,25687.4824216
fixation,ambiguous,_,0.13,,,25687.8544181
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25687.9863636
fixation,ambiguous,_,0.13,,,25688.3583173
ambiguous_left_top,ambiguous,white_second,0.37,,,25688.4903721
fixation,ambiguous,_,0.13,,,25688.8622816
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25688.9942174
fixation,ambiguous,_,0.13,,,25689.3661833
ambiguous_left_top,ambiguous,white_second,0.37,,,25689.4981832
fixation,ambiguous,_,0.13,,,25689.8700494
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25690.0020787
fixation,ambiguous,_,0.13,,,25690.3740099
ambiguous_left_top,ambiguous,white_second,0.37,,,25690.5059439
fixation,ambiguous,_,0.13,,,25690.8778245
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25691.0098426
fixation,ambiguous,_,0.13,,,25691.3817406
ambiguous_left_top,ambiguous,white_second,0.37,,,25691.5136405
fixation,ambiguous,_,0.13,,,25691.8855473
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25692.0176778
fixation,ambiguous,_,0.13,,,25692.3896792
ambiguous_left_top,ambiguous,white_second,0.37,,9.5,25692.5217042
fixation,ambiguous,_,0.13,,,25692.8941829
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25693.0261444
fixation,ambiguous,_,0.13,,,25693.3981118
ambiguous_left_top,ambiguous,white_second,0.37,,,25693.5300479
fixation,ambiguous,_,0.13,,,25693.9020443
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25694.0339998
fixation,ambiguous,_,0.13,,,25694.4059104
ambiguous_left_top,ambiguous,white_second,0.37,,,25694.5378054
fixation,ambiguous,_,0.13,,,25694.9097757
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25695.0423389
fixation,ambiguous,_,0.13,,,25695.4143378
ambiguous_left_top,ambiguous,white_second,0.37,,,25695.5463295
fixation,ambiguous,_,0.13,,,25695.9182407
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25696.050199
fixation,ambiguous,_,0.13,,,25696.4223217
ambiguous_left_top,ambiguous,white_second,0.37,,,25696.5543363
fixation,ambiguous,_,0.13,,,25696.9262789
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25697.0583087
fixation,ambiguous,_,0.13,,,25697.4303072
ambiguous_left_top,ambiguous,white_second,0.37,,,25697.5622751
fixation,ambiguous,_,0.13,,,25697.9342146
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25698.0661758
fixation,ambiguous,_,0.13,,,25698.4381049
ambiguous_left_top,ambiguous,white_second,0.37,,,25698.5701064
fixation,ambiguous,_,0.13,,,25698.9421379
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25699.0740389
fixation,ambiguous,_,0.13,,,25699.4459688
ambiguous_left_top,ambiguous,white_second,0.37,,,25699.5778648
fixation,ambiguous,_,0.13,,,25699.9498486
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25700.0818333
fixation,ambiguous,_,0.13,,,25700.4543328
ambiguous_left_top,ambiguous,white_second,0.37,,,25700.5862807
fixation,ambiguous,_,0.13,,,25700.9582431
ambiguous_left_bottom,ambiguous,white_first,0.37,,,25701.090079
fixation,ambiguous,_,0.13,,,25701.4620974
ambiguous_left_top,ambiguous,white_second,0.37,,9,25701.5940044
