stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
vertical_bottom,vertical,red_first,0.37,,,38468.0532836163
fixation,vertical,_,0.13,,,38468.4364592232
vertical_top,vertical,red_second,0.37,,,38468.5864539637
fixation,vertical,_,0.13,,,38468.9698312602
vertical_bottom,vertical,blue_first,0.37,,,38469.1198201052
fixation,vertical,_,0.13,,,38469.5033246214
vertical_top,vertical,blue_second,0.37,,,38469.6531576999
fixation,vertical,_,0.13,,,38470.0365722314
vertical_bottom,vertical,red_first,0.37,,,38470.186467058
fixation,vertical,_,0.13,,,38470.5698294605
vertical_top,vertical,red_second,0.37,,,38470.7199762441
fixation,vertical,_,0.13,,,38471.1032319062
vertical_bottom,vertical,blue_first,0.37,,,38471.2531456606
fixation,vertical,_,0.13,,,38471.6364649325
vertical_top,vertical,blue_second,0.37,,,38471.7866352982
fixation,vertical,_,0.13,,,38472.1698695502
vertical_bottom,vertical,red_first,0.37,,,38472.3198065765
fixation,vertical,_,0.13,,,38472.7031261587
vertical_top,vertical,red_second,0.37,,,38472.8531460329
fixation,vertical,_,0.13,,,38473.2365540483
vertical_bottom,vertical,blue_first,0.37,,,38473.3865258273
fixation,vertical,_,0.13,,,38473.7698683711
vertical_top,vertical,blue_second,0.37,,,38473.9198839012
fixation,vertical,_,0.13,,,38474.3031302546
vertical_bottom,vertical,red_first,0.37,,,38474.4531302701
fixation,vertical,_,0.13,,,38474.8365215298
vertical_top,vertical,red_second,0.37,,,38474.9864554531
fixation,vertical,_,0.13,,,38475.3698631582
vertical_bottom,vertical,blue_first,0.37,,,38475.5198070109
fixation,vertical,_,0.13,,,38475.9031321784
vertical_top,vertical,blue_second,0.37,,,38476.0531045779
fixation,vertical,_,0.13,,,38476.4364604643
vertical_bottom,vertical,red_first,0.37,,,38476.5866022832
fixation,vertical,_,0.13,,,38476.9697623754
vertical_top,vertical,red_second,0.37,,,38477.1199023326
fixation,vertical,_,0.13,,,38477.5032045385
vertical_bottom,vertical,blue_first,0.37,,,38477.6531372206
fixation,vertical,_,0.13,,,38478.0365924004
vertical_top,vertical,blue_second,0.37,,,38478.186514843
fixation,vertical,_,0.13,,,38478.5698316326
vertical_bottom,vertical,red_first,0.37,,,38478.7197972057
fixation,vertical,_,0.13,,,38479.1030590737
horizontal_left,horizontal,red_second,0.37,exogenous_reversal,10.5,38479.2531127697
fixation,horizontal,_,0.13,,,38479.636423974
horizontal_right,horizontal,blue_first,0.37,,,38479.786427713
fixation,horizontal,_,0.13,,,38480.1697758421
horizontal_left,horizontal,blue_second,0.37,,,38480.319925108
fixation,horizontal,_,0.13,,,38480.7030799253
horizontal_right,horizontal,red_first,0.37,,,38480.8531376551
fixation,horizontal,_,0.13,,,38481.2364544447
horizontal_left,horizontal,red_second,0.37,,,38481.3864017106
fixation,horizontal,_,0.13,,,38481.7697752836
horizontal_right,horizontal,blue_first,0.37,,,38481.9199065525
fixation,horizontal,_,0.13,,,38482.3031615941
horizontal_left,horizontal,blue_second,0.37,,,38482.4531194099
fixation,horizontal,_,0.13,,,38482.8364988785
horizontal_right,horizontal,red_first,0.37,,,38482.986411702
fixation,horizontal,_,0.13,,,38483.3698035822
horizontal_left,horizontal,red_second,0.37,,,38484.5364966754
fixation,horizontal,_,0.13,,,38484.9198057077
horizontal_right,horizontal,blue_first,0.37,,,38485.0697728323
fixation,horizontal,_,0.13,,,38485.4530862087
horizontal_left,horizontal,blue_second,0.37,,,38485.6031392841
fixation,horizontal,_,0.13,,,38485.9864889646
horizontal_right,horizontal,red_first,0.37,,,38486.1363989955
fixation,horizontal,_,0.13,,,38486.5198814809
horizontal_left,horizontal,red_second,0.37,,,38486.669872498
fixation,horizontal,_,0.13,,,38487.0531352968
horizontal_right,horizontal,blue_first,0.37,,,38487.2031247624
fixation,horizontal,_,0.13,,,38487.5863853892
horizontal_left,horizontal,blue_second,0.37,,,38487.736470735
fixation,horizontal,_,0.13,,,38488.1197940407
horizontal_right,horizontal,red_first,0.37,,,38488.2697077951
fixation,horizontal,_,0.13,,,38488.6531924526
horizontal_left,horizontal,red_second,0.37,,,38488.8031319612
fixation,horizontal,_,0.13,,,38489.1863674544
horizontal_right,horizontal,blue_first,0.37,,,38489.336535648
fixation,horizontal,_,0.13,,,38489.7197202533
vertical_top,vertical,blue_second,0.37,exogenous_reversal,9,38489.8697211997
fixation,vertical,_,0.13,,,38490.2530510216
vertical_bottom,vertical,red_first,0.37,,,38490.4030349019
fixation,vertical,_,0.13,,,38490.7865220417
vertical_top,vertical,red_second,0.37,,,38490.9364599989
fixation,vertical,_,0.13,,,38491.319775237
vertical_bottom,vertical,blue_first,0.37,,,38491.469652377
fixation,vertical,_,0.13,,,38491.8530489116
vertical_top,vertical,blue_second,0.37,,,38492.0031752159
fixation,vertical,_,0.13,,,38492.3863039687
vertical_bottom,vertical,red_first,0.37,,,38492.5364402023
fixation,vertical,_,0.13,,,38492.9196896586
vertical_top,vertical,red_second,0.37,,,38493.0696400274
fixation,vertical,_,0.13,,,38493.4531023439
vertical_bottom,vertical,blue_first,0.37,,,38494.6197768195
fixation,vertical,_,0.13,,,38495.0029632866
vertical_top,vertical,blue_second,0.37,,,38495.1531125524
fixation,vertical,_,0.13,,,38495.5363533206
vertical_bottom,vertical,red_first,0.37,,,38495.686413843
fixation,vertical,_,0.13,,,38496.0696493361
vertical_top,vertical,red_second,0.37,,,38496.2197545406
fixation,vertical,_,0.13,,,38496.6030095821
vertical_bottom,vertical,blue_first,0.37,,,38496.7531594686
fixation,vertical,_,0.13,,,38497.1363195608
vertical_top,vertical,blue_second,0.37,,,38497.2863959081
fixation,vertical,_,0.13,,,38497.669738452
vertical_bottom,vertical,red_first,0.37,,,38497.8196491034
fixation,vertical,_,0.13,,,38498.2030574291
vertical_top,vertical,red_second,0.37,,,38498.3529929039
fixation,vertical,_,0.13,,,38498.736303798
vertical_bottom,vertical,blue_first,0.37,,,38498.8862721638
fixation,vertical,_,0.13,,,38499.2698123635
vertical_top,vertical,blue_second,0.37,,,38499.4196513375
fixation,vertical,_,0.13,,,38499.8030546985
horizontal_right,horizontal,red_first,0.37,exogenous_reversal,8.5,38499.9531434575
fixation,horizontal,_,0.13,,,38500.3363289937
horizontal_left,horizontal,red_second,0.37,,,38500.4863051167
fixation,horizontal,_,0.13,,,38500.8697131321
