stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
ambiguous_left_bottom,ambiguous,red_first,0.37,,,23156.5838514752
fixation,ambiguous,_,0.13,,,23156.9670099983
ambiguous_left_top,ambiguous,red_second,0.37,,,23157.1170648896
fixation,ambiguous,_,0.13,,,23157.5004058666
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,23157.6503878384
fixation,ambiguous,_,0.13,,,23158.0338727925
ambiguous_left_top,ambiguous,blue_second,0.37,,,23158.1837598139
fixation,ambiguous,_,0.13,,,23158.5670803113
ambiguous_left_bottom,ambiguous,red_first,0.37,,,23158.7171559924
fixation,ambiguous,_,0.13,,,23159.1003986057
ambiguous_left_top,ambiguous,red_second,0.37,,,23159.2503566847
fixation,ambiguous,_,0.13,,,23159.6338242623
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,23159.7838251621
fixation,ambiguous,_,0.13,,,23160.167163967
ambiguous_left_top,ambiguous,blue_second,0.37,,,23160.3171515241
fixation,ambiguous,_,0.13,,,23160.7004276493
ambiguous_left_bottom,ambiguous,red_first,0.37,,,23160.8504794376
fixation,ambiguous,_,0.13,,,23161.2338132778
ambiguous_left_top,ambiguous,red_second,0.37,,,23161.3838560676
fixation,ambiguous,_,0.13,,,23161.7671998372
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,23161.9171560545
fixation,ambiguous,_,0.13,,,23162.3004281458
ambiguous_left_top,ambiguous,blue_second,0.37,,,23162.4504225294
fixation,ambiguous,_,0.13,,,23162.8337653682
ambiguous_left_bottom,ambiguous,red_first,0.37,,,23162.9837861269
fixation,ambiguous,_,0.13,,,23163.3672552559
ambiguous_left_top,ambiguous,red_second,0.37,,,23163.5172508808
fixation,ambiguous,_,0.13,,,23163.9003876833
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,23164.0504227156
fixation,ambiguous,_,0.13,,,23164.4337568661
ambiguous_left_top,ambiguous,blue_second,0.37,,,23164.5838055514
fixation,ambiguous,_,0.13,,,23164.9672380656
ambiguous_left_bottom,ambiguous,red_first,0.37,,,23165.1171322238
fixation,ambiguous,_,0.13,,,23165.5004418609
ambiguous_left_top,ambiguous,red_second,0.37,,,23165.6504464843
fixation,ambiguous,_,0.13,,,23166.0338045275
ambiguous_left_bottom,ambiguous,blue_first,0.37,,9,23166.1837784316
fixation,ambiguous,_,0.13,,,23166.567170297
ambiguous_left_top,ambiguous,blue_second,0.37,,,23166.7172791797
fixation,ambiguous,_,0.13,,,23167.1004197058
ambiguous_left_bottom,ambiguous,red_first,0.37,,,23167.2504448087
fixation,ambiguous,_,0.13,,,23167.6338013004
ambiguous_left_top,ambiguous,red_second,0.37,,,23167.7838049929
fixation,ambiguous,_,0.13,,,23168.1672781558
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,23168.3172604379
fixation,ambiguous,_,0.13,,,23168.7004897084
ambiguous_left_top,ambiguous,blue_second,0.37,,,23168.8504651641
fixation,ambiguous,_,0.13,,,23169.233814519
ambiguous_left_bottom,ambiguous,red_first,0.37,,,23169.383794629
fixation,ambiguous,_,0.13,,,23169.7671343648
ambiguous_left_top,ambiguous,red_second,0.37,,,23169.9172528667
fixation,ambiguous,_,0.13,,,23170.300530233
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,23170.4505714713
fixation,ambiguous,_,0.13,,,23170.8337917433
ambiguous_left_top,ambiguous,blue_second,0.37,,,23170.9838106403
fixation,ambiguous,_,0.13,,,23171.367221744
ambiguous_left_bottom,ambiguous,red_first,0.37,,,23171.5171826158
fixation,ambiguous,_,0.13,,,23171.9005540017
ambiguous_left_top,ambiguous,red_second,0.37,,,23172.0505881031
fixation,ambiguous,_,0.13,,,23172.4337726911
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,23172.5838154809
fixation,ambiguous,_,0.13,,,23172.9672424097
ambiguous_left_top,ambiguous,blue_second,0.37,,,23173.1172349316
fixation,ambiguous,_,0.13,,,23173.500645725
ambiguous_left_bottom,ambiguous,red_first,0.37,,,23173.6505296435
fixation,ambiguous,_,0.13,,,23174.0338246967
ambiguous_left_top,ambiguous,red_second,0.37,,,23174.183846076
fixation,ambiguous,_,0.13,,,23174.5671904662
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,23174.7171314791
fixation,ambiguous,_,0.13,,,23175.100562752
ambiguous_left_top,ambiguous,blue_second,0.37,,,23175.2505776152
fixation,ambiguous,_,0.13,,,23175.6339077318
ambiguous_left_bottom,ambiguous,red_first,0.37,,9,23175.783842849
fixation,ambiguous,_,0.13,,,23176.1671667597
