controlDate	 stimCorrectCount	 responseCorrectCount	 matchedCorrectCount	 correctEstimationPercentage	 stimWrongCount	 stimOmissionCount	 stimFailedRelease	 trialCount	
07-Sep-2021 14:39:12	  1	 1	 3	   3.00	  0	  0	  	 1	 
07-Sep-2021 15:13:17	  3	 4	 3	   1.00	  1	  0	  	 4	 
07-Sep-2021 15:47:46	  4	 4	 4	   1.00	  0	  0	  	 4	 
07-Sep-2021 16:41:39	  1	 1	 3	   3.00	  0	  0	  	 1	 
07-Sep-2021 16:42:21	  0	 2	 0	    NaN	  0	  0	  	 2	 
07-Sep-2021 16:48:54	  1	 1	 3	   3.00	  0	  0	  	 1	 
07-Sep-2021 16:49:16	  1	 1	 3	   3.00	  0	  0	  	 1	 
07-Sep-2021 16:49:39	  0	 1	 0	    NaN	  0	  0	  	 1	 
07-Sep-2021 16:50:00	  0	 1	 0	    NaN	  0	  0	  	 1	 
07-Sep-2021 16:50:25	  1	 1	 3	   3.00	  0	  0	  	 1	 
07-Sep-2021 16:51:02	  1	 1	 3	   3.00	  0	  0	  	 1	 
07-Sep-2021 16:51:21	  1	 1	 3	   3.00	  0	  0	  	 1	 
07-Sep-2021 16:51:42	  0	 1	 0	    NaN	  0	  0	  	 1	 
07-Sep-2021 16:52:01	  0	 1	 0	    NaN	  0	  0	  	 1	 
07-Sep-2021 17:03:39	  15	 15	 14	   0.93	  0	  0	  	 15	 
07-Sep-2021 17:16:17	  17	 25	 17	   1.00	  3	  7	  	 33	 
09-Sep-2021 18:24:02	  1	 1	 3	   3.00	  0	  1	  	 2	 
09-Sep-2021 19:21:10	  9	 11	 9	   1.00	  0	  2	  	 12	 
16-Sep-2021 15:10:51	  5	 5	 4	   0.80	  0	  1	  	 6	 
