responseTable_estimatedOnset1,responseTable_estimatedOnset2,responseTable_estimatedOnset3,responseTable_estimatedOnset4,responseTable_estimatedOnset5,responseTable_estimatedOnset6,responseTable_estimatedOnset7,responseTable_estimatedOnset8,responseTable_estimatedOnset9,responseTable_estimatedOnset10,responseTable_estimatedOnset11
Stimulus_Type,Stimulus_Duration,Accuracy,KeyName,Estimated_RT,Release_Duration,Estimated_Onset_Index,Total_Press_Time,Reversal_To,Estimated_Onset_TimeCorrected,Reversal_From
,,Reversal,d,,,,14.1798936000014,,,
,,Reversal,l,,,,55.6998555000027,,,
,,Reversal,d,,,,60.5797367000014,,,
,,Reversal,d,,,,75.0116567000005,,,
,,Reversal,d,,,,108.291730700003,,,
,,Reversal,l,,,,113.2834616,,,
,,Reversal,l,,,,146.867399500003,,,
,,Reversal,d,,,,148.563765000003,,,
,,Reversal,l,,,,154.0834092,,,
,,Reversal,l,,,,167.683345900001,,,
,,Reversal,d,,,,169.763439900002,,,
,,Reversal,d,,,,175.9070039,,,
,,Reversal,l,,,,180.3871588,,,
,,Reversal,l,,,,189.8272588,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
