stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
ambiguous_left_bottom,ambiguous,white_first,0.37,,,21309.4328029
fixation,ambiguous,_,0.13,,,21309.8051208
ambiguous_left_top,ambiguous,white_second,0.37,,,21309.9372678
fixation,ambiguous,_,0.13,,,21310.3094682
ambiguous_left_bottom,ambiguous,white_first,0.37,,,21310.441802
fixation,ambiguous,_,0.13,,,21310.8142007
ambiguous_left_top,ambiguous,white_second,0.37,,,21310.9458359
fixation,ambiguous,_,0.13,,,21311.3174668
ambiguous_left_bottom,ambiguous,white_first,0.37,,,21311.4490998
fixation,ambiguous,_,0.13,,,21311.821278
ambiguous_left_top,ambiguous,white_second,0.37,,,21311.9529013
fixation,ambiguous,_,0.13,,,21312.3250231
ambiguous_left_bottom,ambiguous,white_first,0.37,,,21312.4565261
fixation,ambiguous,_,0.13,,,21312.8281334
ambiguous_left_top,ambiguous,white_second,0.37,,,21312.9597675
fixation,ambiguous,_,0.13,,,21313.3317348
ambiguous_left_bottom,ambiguous,white_first,0.37,,,21313.4637189
fixation,ambiguous,_,0.13,,,21313.8358414
ambiguous_left_top,ambiguous,white_second,0.37,,,21313.9678092
fixation,ambiguous,_,0.13,,,21314.339803
ambiguous_left_bottom,ambiguous,white_first,0.37,,,21314.4717281
fixation,ambiguous,_,0.13,,,21314.8437712
ambiguous_left_top,ambiguous,white_second,0.37,,,21314.9758042
fixation,ambiguous,_,0.13,,,21315.3479381
ambiguous_left_bottom,ambiguous,white_first,0.37,,,21315.4799731
fixation,ambiguous,_,0.13,,,21315.852013
ambiguous_left_top,ambiguous,white_second,0.37,,,21315.9840407
fixation,ambiguous,_,0.13,,,21316.3560345
ambiguous_left_bottom,ambiguous,white_first,0.37,,,21316.4880617
fixation,ambiguous,_,0.13,,,21316.8601382
ambiguous_left_top,ambiguous,white_second,0.37,,,21316.9920414
fixation,ambiguous,_,0.13,,,21317.3639964
ambiguous_left_bottom,ambiguous,white_first,0.37,,8,21317.4959661
fixation,ambiguous,_,0.13,,,21317.8680151
ambiguous_left_top,ambiguous,white_second,0.37,,,21318.0000482
fixation,ambiguous,_,0.13,,,21318.3720219
ambiguous_left_bottom,ambiguous,white_first,0.37,,,21318.5040091
fixation,ambiguous,_,0.13,,,21318.8761043
ambiguous_left_top,ambiguous,white_second,0.37,,,21319.008729
fixation,ambiguous,_,0.13,,,21319.3806627
ambiguous_left_bottom,ambiguous,white_first,0.37,,,21319.5127019
