stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
vertical_bottom,vertical,red_first,0.37,,,22675.5252292928
fixation,vertical,_,0.13,,,22675.9088729217
vertical_top,vertical,red_second,0.37,,,22676.041752666
fixation,vertical,_,0.13,,,22676.425547003
vertical_bottom,vertical,blue_first,0.37,,,22676.558360869
fixation,vertical,_,0.13,,,22676.9422169283
vertical_top,vertical,blue_second,0.37,,,22677.0750381347
fixation,vertical,_,0.13,,,22677.4588583969
vertical_bottom,vertical,red_first,0.37,,,22677.5917179724
fixation,vertical,_,0.13,,,22677.9755128893
vertical_top,vertical,red_second,0.37,,,22678.1083713219
fixation,vertical,_,0.13,,,22678.492172175
vertical_bottom,vertical,blue_first,0.37,,,22678.6250352535
fixation,vertical,_,0.13,,,22679.0088389483
vertical_top,vertical,blue_second,0.37,,,22679.1416865699
fixation,vertical,_,0.13,,,22679.5254924283
vertical_bottom,vertical,red_first,0.37,,,22679.6583640152
fixation,vertical,_,0.13,,,22680.0421638476
vertical_top,vertical,red_second,0.37,,,22680.1749673842
fixation,vertical,_,0.13,,,22680.5588063369
vertical_bottom,vertical,blue_first,0.37,,,22680.6916721673
fixation,vertical,_,0.13,,,22681.0754603477
vertical_top,vertical,blue_second,0.37,,,22681.2083235161
fixation,vertical,_,0.13,,,22681.5921210051
vertical_bottom,vertical,red_first,0.37,,,22681.7249887787
fixation,vertical,_,0.13,,,22682.1087842754
vertical_top,vertical,red_second,0.37,,,22682.2416493055
fixation,vertical,_,0.13,,,22682.6254475948
vertical_bottom,vertical,blue_first,0.37,,,22682.7583088116
fixation,vertical,_,0.13,,,22683.1420994742
vertical_top,vertical,blue_second,0.37,,,22683.2749727432
fixation,vertical,_,0.13,,,22683.6587755071
horizontal_right,horizontal,red_first,0.37,,8,22683.7916046504
fixation,horizontal,_,0.13,,,22684.1754323512
horizontal_left,horizontal,red_second,0.37,,,22684.3082746572
fixation,horizontal,_,0.13,,,22684.6920716071
horizontal_right,horizontal,blue_first,0.37,,,22684.8249494896
fixation,horizontal,_,0.13,,,22686.2420442383
horizontal_left,horizontal,blue_second,0.37,,,22686.3749281301
fixation,horizontal,_,0.13,,,22686.7587300123
horizontal_right,horizontal,red_first,0.37,,,22686.8915747023
fixation,horizontal,_,0.13,,,22687.2753886282
horizontal_left,horizontal,red_second,0.37,,,22687.4082144074
fixation,horizontal,_,0.13,,,22687.7920361229
horizontal_right,horizontal,blue_first,0.37,,,22687.9249021247
fixation,horizontal,_,0.13,,,22688.3086872105
horizontal_left,horizontal,blue_second,0.37,,,22688.441567567
fixation,horizontal,_,0.13,,,22688.8253474678
horizontal_right,horizontal,red_first,0.37,,,22688.9582246399
fixation,horizontal,_,0.13,,,22689.3420048018
horizontal_left,horizontal,red_second,0.37,,,22689.4748954386
fixation,horizontal,_,0.13,,,22689.8586801734
horizontal_right,horizontal,blue_first,0.37,,,22689.9915226016
fixation,horizontal,_,0.13,,,22690.3753202212
horizontal_left,horizontal,blue_second,0.37,,,22690.508198414
fixation,horizontal,_,0.13,,,22690.8919922203
horizontal_right,horizontal,red_first,0.37,,,22691.0248501222
fixation,horizontal,_,0.13,,,22691.4086402948
horizontal_left,horizontal,red_second,0.37,,,22691.541522652
fixation,horizontal,_,0.13,,,22691.9253030751
horizontal_right,horizontal,blue_first,0.37,,,22692.0581702857
fixation,horizontal,_,0.13,,,22692.4419718899
horizontal_left,horizontal,blue_second,0.37,,,22692.5748141875
fixation,horizontal,_,0.13,,,22692.9586406555
horizontal_right,horizontal,red_first,0.37,,,22693.0914902203
fixation,horizontal,_,0.13,,,22693.4752846963
horizontal_left,horizontal,red_second,0.37,,,22693.6081235484
fixation,horizontal,_,0.13,,,22693.9919329421
vertical_bottom,vertical,blue_first,0.37,,9,22694.1248060805
fixation,vertical,_,0.13,,,22694.508598164
vertical_top,vertical,blue_second,0.37,,,22694.6414512319
fixation,vertical,_,0.13,,,22696.0585582615
vertical_bottom,vertical,red_first,0.37,,,22696.1914287294
fixation,vertical,_,0.13,,,22696.575234637
vertical_top,vertical,red_second,0.37,,,22696.7081141524
fixation,vertical,_,0.13,,,22697.091895776
vertical_bottom,vertical,blue_first,0.37,,,22697.2247693552
fixation,vertical,_,0.13,,,22697.6085683549
vertical_top,vertical,blue_second,0.37,,,22697.7414230641
fixation,vertical,_,0.13,,,22698.1252175808
vertical_bottom,vertical,red_first,0.37,,,22698.2580865955
fixation,vertical,_,0.13,,,22698.6418842643
vertical_top,vertical,red_second,0.37,,,22698.7747033477
fixation,vertical,_,0.13,,,22699.1585419086
vertical_bottom,vertical,blue_first,0.37,,,22699.2913712723
fixation,vertical,_,0.13,,,22699.675190424
vertical_top,vertical,blue_second,0.37,,,22699.80808004
fixation,vertical,_,0.13,,,22700.191850371
vertical_bottom,vertical,red_first,0.37,,,22700.3247033897
fixation,vertical,_,0.13,,,22700.7085167035
vertical_top,vertical,red_second,0.37,,,22700.8413707429
fixation,vertical,_,0.13,,,22701.2251695545
vertical_bottom,vertical,blue_first,0.37,,,22701.3580411414
fixation,vertical,_,0.13,,,22701.7418280399
horizontal_left,horizontal,blue_second,0.37,,6.5,22701.874694752
fixation,horizontal,_,0.13,,,22702.2584780169
horizontal_right,horizontal,red_first,0.37,,,22702.3913576222
fixation,horizontal,_,0.13,,,22703.8084155124
horizontal_left,horizontal,red_second,0.37,,,22703.9413198833
fixation,horizontal,_,0.13,,,22704.32512388
horizontal_right,horizontal,blue_first,0.37,,,22704.4579797811
fixation,horizontal,_,0.13,,,22704.841792515
horizontal_left,horizontal,blue_second,0.37,,,22704.9746382258
fixation,horizontal,_,0.13,,,22705.3584504697
horizontal_right,horizontal,red_first,0.37,,,22705.4913101351
fixation,horizontal,_,0.13,,,22705.8750999567
horizontal_left,horizontal,red_second,0.37,,,22706.0079704822
fixation,horizontal,_,0.13,,,22706.3917606548
horizontal_right,horizontal,blue_first,0.37,,,22706.5245933095
fixation,horizontal,_,0.13,,,22706.9084148046
horizontal_left,horizontal,blue_second,0.37,,,22707.0412753109
fixation,horizontal,_,0.13,,,22707.4250855625
horizontal_right,horizontal,red_first,0.37,,,22707.557920993
fixation,horizontal,_,0.13,,,22707.9417376217
horizontal_left,horizontal,red_second,0.37,,,22708.0746048238
fixation,horizontal,_,0.13,,,22708.4583881294
horizontal_right,horizontal,blue_first,0.37,,,22708.5912357103
fixation,horizontal,_,0.13,,,22708.9750606676
horizontal_left,horizontal,blue_second,0.37,,,22709.1079258283
fixation,horizontal,_,0.13,,,22725.5408058882
horizontal_left,horizontal,red_first,0.37,,,22725.6743976264
fixation,horizontal,_,0.13,,,22726.0581332793
horizontal_right,horizontal,red_second,0.37,,,22726.1909865185
fixation,horizontal,_,0.13,,,22726.5747735068
horizontal_left,horizontal,blue_first,0.37,,,22726.7076551943
fixation,horizontal,_,0.13,,,22727.0914551249
horizontal_right,horizontal,blue_second,0.37,,,22727.2243097358
fixation,horizontal,_,0.13,,,22727.6081124098
horizontal_left,horizontal,red_first,0.37,,,22727.7409572388
fixation,horizontal,_,0.13,,,22728.1247751087
vertical_bottom,vertical,red_second,0.37,,9,22728.257643903
fixation,vertical,_,0.13,,,22728.6414131725
