stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
vertical_bottom,vertical,red_first,0.37,,,28535.753875794
fixation,vertical,_,0.13,,,28536.1371907282
vertical_top,vertical,red_second,0.37,,,28536.2699516288
fixation,vertical,_,0.13,,,28536.6538437271
vertical_bottom,vertical,blue_first,0.37,,,28536.8031616587
fixation,vertical,_,0.13,,,28537.1870575694
vertical_top,vertical,blue_second,0.37,,,28537.3197419699
fixation,vertical,_,0.13,,,28537.7038328078
vertical_bottom,vertical,red_first,0.37,,,28537.8367196148
fixation,vertical,_,0.13,,,28538.220498867
vertical_top,vertical,red_second,0.37,,,28538.3533404707
fixation,vertical,_,0.13,,,28538.7371635581
vertical_bottom,vertical,blue_first,0.37,,,28538.8700095059
fixation,vertical,_,0.13,,,28539.2538125233
vertical_top,vertical,blue_second,0.37,,,28539.3866709813
fixation,vertical,_,0.13,,,28539.7704800776
vertical_bottom,vertical,red_first,0.37,,,28539.9033308771
fixation,vertical,_,0.13,,,28540.287132879
vertical_top,vertical,red_second,0.37,,,28540.4200001239
fixation,vertical,_,0.13,,,28540.8037785438
vertical_bottom,vertical,blue_first,0.37,,,28540.9366466772
fixation,vertical,_,0.13,,,28541.3204712174
vertical_top,vertical,blue_second,0.37,,,28541.4533091963
fixation,vertical,_,0.13,,,28541.8371153308
vertical_bottom,vertical,red_first,0.37,,,28541.9699699525
fixation,vertical,_,0.13,,,28542.3537730263
vertical_top,vertical,red_second,0.37,,,28542.4866511171
fixation,vertical,_,0.13,,,28542.8704357147
vertical_bottom,vertical,blue_first,0.37,,,28543.0032942996
fixation,vertical,_,0.13,,,28543.3870864428
horizontal_left,horizontal,blue_second,0.37,,7.5,28543.5199514169
fixation,horizontal,_,0.13,,,28543.9037276649
horizontal_right,horizontal,red_first,0.37,,,28544.0365892258
fixation,horizontal,_,0.13,,,28544.4204078987
horizontal_left,horizontal,red_second,0.37,,,28544.5532845086
fixation,horizontal,_,0.13,,,28544.9370585281
horizontal_right,horizontal,blue_first,0.37,,,28545.0698834609
fixation,horizontal,_,0.13,,,28545.4537285929
horizontal_left,horizontal,blue_second,0.37,,,28545.5866103085
fixation,horizontal,_,0.13,,,28545.9704005476
horizontal_right,horizontal,red_first,0.37,,,28546.1032528281
fixation,horizontal,_,0.13,,,28546.4870403875
horizontal_left,horizontal,red_second,0.37,,,28546.6198934437
fixation,horizontal,_,0.13,,,28547.0037026669
horizontal_right,horizontal,blue_first,0.37,,,28547.1365447924
fixation,horizontal,_,0.13,,,28547.5203781758
horizontal_left,horizontal,blue_second,0.37,,,28547.6532123326
fixation,horizontal,_,0.13,,,28548.0370281141
horizontal_right,horizontal,red_first,0.37,,,28548.1698563896
fixation,horizontal,_,0.13,,,28548.553671748
horizontal_left,horizontal,red_second,0.37,,,28548.6865506428
fixation,horizontal,_,0.13,,,28549.0703338158
horizontal_right,horizontal,blue_first,0.37,,,28549.2032089871
fixation,horizontal,_,0.13,,,28549.5870031613
horizontal_left,horizontal,blue_second,0.37,,,28549.7198520991
fixation,horizontal,_,0.13,,,28550.1036495454
horizontal_right,horizontal,red_first,0.37,,,28550.2365189904
fixation,horizontal,_,0.13,,,28550.6203139263
horizontal_left,horizontal,red_second,0.37,,,28550.7532013539
fixation,horizontal,_,0.13,,,28551.1369725527
vertical_bottom,vertical,blue_first,0.37,,7.5,28551.2698626319
fixation,vertical,_,0.13,,,28551.6536356219
vertical_top,vertical,blue_second,0.37,,,28551.786522429
fixation,vertical,_,0.13,,,28552.170304925
vertical_bottom,vertical,red_first,0.37,,,28552.3031607879
fixation,vertical,_,0.13,,,28552.6869421133
vertical_top,vertical,red_second,0.37,,,28552.8197618135
fixation,vertical,_,0.13,,,28553.2035995691
vertical_bottom,vertical,blue_first,0.37,,,28553.3364156869
fixation,vertical,_,0.13,,,28553.7202655296
vertical_top,vertical,blue_second,0.37,,,28553.8531137905
fixation,vertical,_,0.13,,,28554.2369264973
vertical_bottom,vertical,red_first,0.37,,,28554.3697466489
fixation,vertical,_,0.13,,,28554.7535716121
vertical_top,vertical,red_second,0.37,,,28554.8864608028
fixation,vertical,_,0.13,,,28555.2702465005
vertical_bottom,vertical,blue_first,0.37,,,28555.4030994438
fixation,vertical,_,0.13,,,28555.7869025741
vertical_top,vertical,blue_second,0.37,,,28555.9197424571
fixation,vertical,_,0.13,,,28556.3035590566
vertical_bottom,vertical,red_first,0.37,,,28556.4364294326
fixation,vertical,_,0.13,,,28556.8202252993
vertical_top,vertical,red_second,0.37,,,28556.9530445481
fixation,vertical,_,0.13,,,28557.3368817537
vertical_bottom,vertical,blue_first,0.37,,,28557.4697525104
fixation,vertical,_,0.13,,,28557.853536304
vertical_top,vertical,blue_second,0.37,,,28557.9863852983
fixation,vertical,_,0.13,,,28558.3701966229
vertical_bottom,vertical,red_first,0.37,,,28558.503047634
fixation,vertical,_,0.13,,,28558.8868513143
vertical_top,vertical,red_second,0.37,,,28559.0197141164
fixation,vertical,_,0.13,,,28559.4035111114
horizontal_right,horizontal,blue_first,0.37,,8,28559.5363985108
fixation,horizontal,_,0.13,,,28559.9201556056
horizontal_left,horizontal,blue_second,0.37,,,28560.0530730466
fixation,horizontal,_,0.13,,,28560.4368302542
horizontal_right,horizontal,red_first,0.37,,,28560.5696752005
fixation,horizontal,_,0.13,,,28560.9534984572
horizontal_left,horizontal,red_second,0.37,,,28561.0863511185
fixation,horizontal,_,0.13,,,28561.4701540089
horizontal_right,horizontal,blue_first,0.37,,,28561.6030055419
fixation,horizontal,_,0.13,,,28561.9868148779
horizontal_left,horizontal,blue_second,0.37,,,28562.1196669891
fixation,horizontal,_,0.13,,,28562.5034807397
horizontal_right,horizontal,red_first,0.37,,,28562.6363372937
fixation,horizontal,_,0.13,,,28563.0200235158
horizontal_left,horizontal,red_second,0.37,,,28563.1530299531
fixation,horizontal,_,0.13,,,28563.5367862016
horizontal_right,horizontal,blue_first,0.37,,,28563.6696055492
fixation,horizontal,_,0.13,,,28564.0534495811
horizontal_left,horizontal,blue_second,0.37,,,28564.1863058671
fixation,horizontal,_,0.13,,,28564.5701204357
horizontal_right,horizontal,red_first,0.37,,,28564.7029489791
fixation,horizontal,_,0.13,,,28565.0867791608
horizontal_left,horizontal,red_second,0.37,,,28565.2196188041
fixation,horizontal,_,0.13,,,28565.6034205521
horizontal_right,horizontal,blue_first,0.37,,,28565.7362946797
fixation,horizontal,_,0.13,,,28566.120085074
horizontal_left,horizontal,blue_second,0.37,,,28566.2529809077
fixation,horizontal,_,0.13,,,28566.6367456891
horizontal_right,horizontal,red_first,0.37,,,28566.7696170664
fixation,horizontal,_,0.13,,,28567.1532704121
vertical_top,vertical,red_second,0.37,,7.5,28567.2862848181
fixation,vertical,_,0.13,,,28567.6700667641
vertical_bottom,vertical,blue_first,0.37,,,28567.8029445447
fixation,vertical,_,0.13,,,28568.1867203554
vertical_top,vertical,blue_second,0.37,,,28568.3195695471
fixation,vertical,_,0.13,,,28568.7033761187
vertical_bottom,vertical,red_first,0.37,,,28568.8361807982
fixation,vertical,_,0.13,,,28569.2200370159
vertical_top,vertical,red_second,0.37,,,28569.352919211
fixation,vertical,_,0.13,,,28569.73669615
vertical_bottom,vertical,blue_first,0.37,,,28569.8695799671
fixation,vertical,_,0.13,,,28570.2533530276
