controlDate	 stimCorrectCount	 responseCorrectCount	 matchedCorrectCount	 correctEstimationPercentage	 stimWrongCount	 stimOmissionCount	 trialCount	
09-Aug-2021 16:52:37	  5	 4	 3	   0.75	  0	  1	  7	  
09-Aug-2021 17:00:27	  4	 4	 4	   1.00	  0	  1	  6	 
09-Aug-2021 17:06:35	  19	 19	 19	   1.00	  0	  1	  21
09-Aug-2021 17:10:26	  17	 19	 16	   0.94	  2	  0	  21	 
09-Aug-2021 17:25:16	  17	 18	 16	   0.94	  2	  0	  20	 
10-Aug-2021 09:00:28	  10	 10	 9	   0.90	  0	  0	  11	 
10-Aug-2021 09:26:53	  10	 10	 9	   0.90	  0	  0	  11	 
10-Aug-2021 09:40:09	  31	 29	 27	   0.87	  2	  1	  34	 
10-Aug-2021 09:41:24	  31	 29	 27	   0.87	  2	  1	  34	 
10-Aug-2021 10:29:28	  27	 26	 26	   0.96	  0	  0	  27	 
10-Aug-2021 10:47:14	  25	 26	 25	   1.00	  1	  0	  26	 
10-Aug-2021 10:56:25	  20	 23	 20	   1.00	  3	  2	  25	 
10-Aug-2021 14:52:19	  27	 28	 27	   1.00	  1	  0	  28	 
10-Aug-2021 15:09:00	  18	 22	 18	   1.00	  5	  3	  28	 
12-Aug-2021 16:25:47	  0	 1	 0	    NaN	  1	  0	  	 1	 
13-Aug-2021 09:56:51	  0	 0	 0	    NaN	  0	  1	  	 1	 
13-Aug-2021 17:57:57	  1	 1	 3	   3.00	  0	  0	  	 1	 
14-Aug-2021 17:24:03	  1	 3	 3	   3.00	  2	  1	  	 4	 
14-Aug-2021 17:40:02	  18	 19	 18	   1.00	  1	  0	  8	 20	 
14-Aug-2021 17:40:09	  18	 19	 18	   1.00	  1	  0	  8	 20	 
14-Aug-2021 17:40:18	  18	 19	 18	   1.00	  1	  0	  8	 20	 
16-Aug-2021 09:32:48	  4	 2	 3	   0.75	  1	  3	  	 8	 
16-Aug-2021 09:42:26	  3	 2	 3	   1.00	  1	  0	  	 4	 
16-Aug-2021 09:45:16	  2	 1	 3	   1.50	  2	  1	  	 5	 
16-Aug-2021 09:57:00	  2	 2	 3	   1.50	  0	  0	  	 2	 
16-Aug-2021 11:18:31	  7	 2	 3	   0.43	  0	  0	  	 7	 
16-Aug-2021 11:31:03	  4	 2	 3	   0.75	  1	  0	  	 5	 
16-Aug-2021 11:41:36	  2	 1	 3	   1.50	  1	  0	  	 3	 
16-Aug-2021 11:57:12	  4	 1	 3	   0.75	  0	  0	  3	 5	 
16-Aug-2021 12:05:35	  3	 1	 3	   1.00	  0	  0	  3	 4	 
16-Aug-2021 12:11:37	  3	 1	 3	   1.00	  1	  0	  	 4	 
16-Aug-2021 12:13:27	  5	 5	 5	   1.00	  0	  0	  4	 6	 
